provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
gemini,gemini-1.5-flash,2026-05-14,tagging,184292927,24541540,164257,21.18,0
gemini,gemini-1.5-flash,2026-05-15,tagging,139612210,15614026,110644,15.16,0
gemini,gemini-1.5-flash,2026-05-16,tagging,129572386,14282784,100384,14.00,0
gemini,gemini-1.5-flash,2026-05-17,tagging,221435863,27637752,178547,24.90,0
gemini,gemini-1.5-flash,2026-05-18,tagging,205554687,26510265,179234,23.37,0
gemini,gemini-1.5-flash,2026-05-19,tagging,167695625,22703261,147700,19.39,0
gemini,gemini-1.5-flash,2026-05-20,tagging,146705022,17949494,125550,16.39,0
gemini,gemini-1.5-flash,2026-05-21,tagging,168406724,21902178,137503,19.20,0
gemini,gemini-1.5-flash,2026-05-22,tagging,85074347,11449928,72921,9.82,0
gemini,gemini-1.5-flash,2026-05-23,tagging,70892936,8484309,60107,7.86,0
gemini,gemini-1.5-flash,2026-05-24,tagging,119548223,13827363,94145,13.11,0
gemini,gemini-1.5-flash,2026-05-25,tagging,116296725,16374306,105167,13.63,0
gemini,gemini-1.5-flash,2026-05-26,tagging,143623688,18629605,117151,16.36,0
gemini,gemini-1.5-flash,2026-05-27,tagging,158892142,17775854,124293,17.25,0
gemini,gemini-1.5-flash,2026-05-28,tagging,137268122,16848800,112519,15.35,0
gemini,gemini-1.5-flash,2026-05-29,tagging,98466811,12025121,86425,10.99,0
gemini,gemini-1.5-flash,2026-05-30,tagging,129568812,16203172,104536,14.58,0
gemini,gemini-1.5-flash,2026-05-31,tagging,442304501,55141572,381308,49.72,0
gemini,gemini-1.5-flash,2026-06-01,tagging,213602844,25351462,182781,23.63,0
gemini,gemini-1.5-flash,2026-06-02,tagging,179751657,25376406,156795,21.09,0
gemini,gemini-1.5-flash,2026-06-03,tagging,206280228,27482507,169933,23.72,0
gemini,gemini-1.5-flash,2026-06-04,tagging,176176060,22047955,155158,19.83,0
gemini,gemini-1.5-flash,2026-06-05,tagging,112395343,13451773,92758,12.47,0
gemini,gemini-1.5-flash,2026-06-06,tagging,122682340,15434508,103988,13.83,0
gemini,gemini-1.5-flash,2026-06-07,tagging,175625814,22906262,148292,20.04,0
gemini,gemini-1.5-flash,2026-06-08,tagging,135527799,16769064,114804,15.20,0
anthropic,claude-3-5-haiku,2026-05-10,inbox-assist,47104519,6769120,31643,64.76,0
anthropic,claude-3-5-haiku,2026-05-11,inbox-assist,46141199,7384980,32983,66.45,0
anthropic,claude-3-5-haiku,2026-05-12,inbox-assist,56122044,8879318,39792,80.41,0
anthropic,claude-3-5-haiku,2026-05-13,inbox-assist,53386574,8515407,39819,76.77,0
anthropic,claude-3-5-haiku,2026-05-14,inbox-assist,47690713,7521246,35198,68.24,0
anthropic,claude-3-5-haiku,2026-05-15,inbox-assist,34091698,4983048,23709,47.21,0
anthropic,claude-3-5-haiku,2026-05-16,inbox-assist,28521956,4880061,21511,42.34,0
anthropic,claude-3-5-haiku,2026-05-17,inbox-assist,51971859,7912050,38260,73.23,0
anthropic,claude-3-5-haiku,2026-05-18,inbox-assist,52167845,7830919,38407,73.06,0
anthropic,claude-3-5-haiku,2026-05-19,inbox-assist,44859698,6637341,31650,62.44,0
anthropic,claude-3-5-haiku,2026-05-20,inbox-assist,37552919,5804956,26903,53.26,0
anthropic,claude-3-5-haiku,2026-05-21,inbox-assist,42650563,6910265,29465,61.76,0
anthropic,claude-3-5-haiku,2026-05-22,inbox-assist,22967418,3404367,15626,31.99,0
anthropic,claude-3-5-haiku,2026-05-23,inbox-assist,17034160,3000275,12880,25.63,0
anthropic,claude-3-5-haiku,2026-05-24,inbox-assist,28359626,4679989,20174,41.41,0
anthropic,claude-3-5-haiku,2026-05-25,inbox-assist,33541892,4918338,22536,46.51,0
anthropic,claude-3-5-haiku,2026-05-26,inbox-assist,33158304,5627810,25104,49.04,0
anthropic,claude-3-5-haiku,2026-05-27,inbox-assist,39122702,5586109,26634,53.64,0
anthropic,claude-3-5-haiku,2026-05-28,inbox-assist,33159380,5343174,24111,47.90,0
anthropic,claude-3-5-haiku,2026-05-29,inbox-assist,27937901,4069184,18520,38.63,0
anthropic,claude-3-5-haiku,2026-05-30,inbox-assist,33163738,5198601,22400,47.33,0
anthropic,claude-3-5-haiku,2026-05-31,inbox-assist,118851544,16691904,81709,161.85,0
anthropic,claude-3-5-haiku,2026-06-01,inbox-assist,51055447,8160813,39167,73.49,0
anthropic,claude-3-5-haiku,2026-06-02,inbox-assist,47087841,7600709,33599,68.07,0
anthropic,claude-3-5-haiku,2026-06-03,inbox-assist,53106871,8641016,36414,77.05,0
anthropic,claude-3-5-haiku,2026-06-04,inbox-assist,48900458,7468592,33248,68.99,0
anthropic,claude-3-5-haiku,2026-06-05,inbox-assist,29328168,4619898,19877,41.94,0
anthropic,claude-3-5-haiku,2026-06-06,inbox-assist,31692291,4785455,22283,44.50,0
anthropic,claude-3-5-haiku,2026-06-07,inbox-assist,44109880,7414177,31777,64.94,0
anthropic,claude-3-5-haiku,2026-06-08,inbox-assist,35438762,5281677,24601,49.48,0
openai,gpt-4o-mini,2026-05-10,moderation,112483749,13199116,80865,24.79,0
openai,gpt-4o-mini,2026-05-11,moderation,106583518,14229968,84289,24.53,0
openai,gpt-4o-mini,2026-05-12,moderation,124827697,15920912,101690,28.28,0
openai,gpt-4o-mini,2026-05-13,moderation,122127649,15201811,101760,27.44,0
openai,gpt-4o-mini,2026-05-14,moderation,119697596,14913254,89950,26.90,0
openai,gpt-4o-mini,2026-05-15,moderation,84514503,10283159,60591,18.85,0
openai,gpt-4o-mini,2026-05-16,moderation,71077670,9087500,54972,16.11,0
openai,gpt-4o-mini,2026-05-17,moderation,119892122,15076217,97776,27.03,0
openai,gpt-4o-mini,2026-05-18,moderation,120230393,14567769,98152,26.78,0
openai,gpt-4o-mini,2026-05-19,moderation,101632752,12819240,80884,22.94,0
openai,gpt-4o-mini,2026-05-20,moderation,90362267,11381310,68753,20.38,0
openai,gpt-4o-mini,2026-05-21,moderation,102486672,12596819,75299,22.93,0
openai,gpt-4o-mini,2026-05-22,moderation,49387234,6559344,39933,11.34,0
openai,gpt-4o-mini,2026-05-23,moderation,42912701,5218987,32916,9.57,0
openai,gpt-4o-mini,2026-05-24,moderation,66690666,8194926,51556,14.92,0
openai,gpt-4o-mini,2026-05-25,moderation,73970522,8966757,57591,16.48,0
openai,gpt-4o-mini,2026-05-26,moderation,80832745,9685953,64154,17.94,0
openai,gpt-4o-mini,2026-05-27,moderation,88549585,10485103,68065,19.57,0
openai,gpt-4o-mini,2026-05-28,moderation,80493734,9934367,61617,18.03,0
openai,gpt-4o-mini,2026-05-29,moderation,62977187,7496379,47328,13.94,0
openai,gpt-4o-mini,2026-05-30,moderation,70071604,8432128,57246,15.57,0
openai,gpt-4o-mini,2026-05-31,moderation,256174923,35779299,208812,59.89,0
openai,gpt-4o-mini,2026-06-01,moderation,121155181,16964810,100094,28.35,0
openai,gpt-4o-mini,2026-06-02,moderation,110380142,13743661,85864,24.80,0
openai,gpt-4o-mini,2026-06-03,moderation,113210795,15655760,93059,26.38,0
openai,gpt-4o-mini,2026-06-04,moderation,102623216,13313280,84967,23.38,0
openai,gpt-4o-mini,2026-06-05,moderation,63179029,8391031,50796,14.51,0
openai,gpt-4o-mini,2026-06-06,moderation,74788460,8520386,56946,16.33,0
openai,gpt-4o-mini,2026-06-07,moderation,113448362,13513237,81208,25.13,0
openai,gpt-4o-mini,2026-06-08,moderation,83837679,10536053,62869,18.90,0
