provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors,reasoning_tokens,cache_read_input_tokens,cache_creation_input_tokens
openai,gpt-4o-mini,2026-05-13,support-bot,148296838,27094624,61941,38.50,0,0,0,0
openai,gpt-4o-mini,2026-05-14,support-bot,132473126,23931044,54752,34.23,0,0,0,0
openai,gpt-4o-mini,2026-05-15,support-bot,94700018,15855296,36881,23.72,0,0,0,0
openai,gpt-4o-mini,2026-05-16,support-bot,79226340,15527209,33461,21.20,0,0,0,0
openai,gpt-4o-mini,2026-05-17,support-bot,144367353,25174892,59516,36.76,0,0,0,0
openai,gpt-4o-mini,2026-05-18,support-bot,144912568,24916885,59745,36.69,0,0,0,0
openai,gpt-4o-mini,2026-05-19,support-bot,124609429,21118669,49233,31.36,0,0,0,0
openai,gpt-4o-mini,2026-05-20,support-bot,104315881,18470705,41850,26.73,0,0,0,0
openai,gpt-4o-mini,2026-05-21,support-bot,118472637,21986992,45834,30.96,0,0,0,0
openai,gpt-4o-mini,2026-05-22,support-bot,63798092,10832028,24307,16.07,0,0,0,0
openai,gpt-4o-mini,2026-05-23,support-bot,47318159,9546541,20036,12.83,0,0,0,0
openai,gpt-4o-mini,2026-05-24,support-bot,78777296,14890980,31382,20.75,0,0,0,0
openai,gpt-4o-mini,2026-05-25,support-bot,93171921,15649258,35056,23.37,0,0,0,0
openai,gpt-4o-mini,2026-05-26,support-bot,92104829,17906361,39050,24.56,0,0,0,0
openai,gpt-4o-mini,2026-05-27,support-bot,108675046,17774127,41431,26.97,0,0,0,0
openai,gpt-4o-mini,2026-05-28,support-bot,92109389,17001007,37506,24.02,0,0,0,0
openai,gpt-4o-mini,2026-05-29,support-bot,77602887,12947005,28808,19.41,0,0,0,0
openai,gpt-4o-mini,2026-05-30,support-bot,92122963,16541266,34845,23.74,0,0,0,0
openai,gpt-4o-mini,2026-05-31,support-bot,330143467,53110651,127103,81.39,0,0,0,0
openai,gpt-4o-mini,2026-06-01,support-bot,141821979,25966460,60927,36.85,0,0,0,0
openai,gpt-4o-mini,2026-06-02,support-bot,130799280,24184024,52265,34.13,0,0,0,0
openai,gpt-4o-mini,2026-06-03,support-bot,147519087,27494141,56644,38.62,0,0,0,0
openai,gpt-4o-mini,2026-06-04,support-bot,135834313,23763649,51719,34.63,0,0,0,0
openai,gpt-4o-mini,2026-06-05,support-bot,81465085,14699307,30919,21.04,0,0,0,0
openai,gpt-4o-mini,2026-06-06,support-bot,88035551,15226691,34663,22.34,0,0,0,0
openai,gpt-4o-mini,2026-06-07,support-bot,122527719,23590617,49431,32.53,0,0,0,0
openai,gpt-4o-mini,2026-06-08,support-bot,98440433,16805238,38268,24.85,0,0,0,0
openai,gpt-4o,2026-05-10,support-bot,5192200,924052,3235,22.22,0,0,0,0
openai,gpt-4o,2026-05-11,support-bot,4919881,996228,3372,22.26,0,0,0,0
openai,gpt-4o,2026-05-12,support-bot,5761845,1114573,4068,25.55,0,0,0,0
openai,gpt-4o,2026-05-13,support-bot,5636107,1064022,4070,24.73,0,0,0,0
openai,gpt-4o,2026-05-14,support-bot,5524504,1043928,3598,24.25,0,0,0,0
openai,gpt-4o,2026-05-15,support-bot,3901249,719928,2424,16.95,0,0,0,0
openai,gpt-4o,2026-05-16,support-bot,3280687,636160,2199,14.56,0,0,0,0
openai,gpt-4o,2026-05-17,support-bot,5533426,1055324,3911,24.39,0,0,0,0
openai,gpt-4o,2026-05-18,support-bot,5548982,1019723,3926,24.07,0,0,0,0
openai,gpt-4o,2026-05-19,support-bot,4690220,897247,3235,20.70,0,0,0,0
openai,gpt-4o,2026-05-20,support-bot,4170384,796657,2750,18.39,0,0,0,0
openai,gpt-4o,2026-05-21,support-bot,4730217,881789,3012,20.64,0,0,0,0
openai,gpt-4o,2026-05-22,support-bot,2278954,459062,1597,10.29,0,0,0,0
openai,gpt-4o,2026-05-23,support-bot,1981128,365429,1317,8.61,0,0,0,0
openai,gpt-4o,2026-05-24,support-bot,3077673,573578,2062,13.43,0,0,0,0
openai,gpt-4o,2026-05-25,support-bot,3414558,627771,2304,14.81,0,0,0,0
openai,gpt-4o,2026-05-26,support-bot,3730509,677974,2566,16.11,0,0,0,0
openai,gpt-4o,2026-05-27,support-bot,4087504,734065,2723,17.56,0,0,0,0
openai,gpt-4o,2026-05-28,support-bot,3715578,695496,2465,16.24,0,0,0,0
openai,gpt-4o,2026-05-29,support-bot,2906455,524713,1893,12.51,0,0,0,0
openai,gpt-4o,2026-05-30,support-bot,3234300,590290,2290,13.99,0,0,0,0
openai,gpt-4o,2026-05-31,support-bot,11822779,2504407,8352,54.60,0,0,0,0
openai,gpt-4o,2026-06-01,support-bot,5592113,1187608,4004,25.86,0,0,0,0
openai,gpt-4o,2026-06-02,support-bot,5095121,962179,3435,22.36,0,0,0,0
openai,gpt-4o,2026-06-03,support-bot,5224608,1095797,3722,24.02,0,0,0,0
openai,gpt-4o,2026-06-04,support-bot,4736902,932017,3399,21.16,0,0,0,0
openai,gpt-4o,2026-06-05,support-bot,2916185,587418,2032,13.16,0,0,0,0
openai,gpt-4o,2026-06-06,support-bot,3452018,596469,2278,14.59,0,0,0,0
openai,gpt-4o,2026-06-07,support-bot,5235562,945833,3248,22.55,0,0,0,0
openai,gpt-4o,2026-06-08,support-bot,3869801,737594,2515,17.05,0,0,0,0
anthropic,claude-3-5-sonnet,2026-05-10,doc-summarizer,9569149,1438395,1055,50.28,0,0,4784575,382766
anthropic,claude-3-5-sonnet,2026-05-11,doc-summarizer,9933815,1354826,1099,50.12,0,0,4966908,397353
anthropic,claude-3-5-sonnet,2026-05-12,doc-summarizer,11128381,1612339,1326,57.57,0,0,5564191,445135
anthropic,claude-3-5-sonnet,2026-05-13,doc-summarizer,11101399,1659622,1327,58.20,0,0,5550700,444056
anthropic,claude-3-5-sonnet,2026-05-14,doc-summarizer,10847766,1565978,1173,56.03,0,0,5423883,433911
anthropic,claude-3-5-sonnet,2026-05-15,doc-summarizer,7179395,1105323,790,38.12,0,0,3589698,287176
anthropic,claude-3-5-sonnet,2026-05-16,doc-summarizer,5959612,916704,717,31.63,0,0,2979806,238384
anthropic,claude-3-5-sonnet,2026-05-17,doc-summarizer,11177269,1600252,1275,57.54,0,0,5588635,447091
anthropic,claude-3-5-sonnet,2026-05-18,doc-summarizer,12133973,1673764,1280,61.51,0,0,6066987,485359
anthropic,claude-3-5-sonnet,2026-05-19,doc-summarizer,9046784,1468997,1055,49.18,0,0,4523392,361871
anthropic,claude-3-5-sonnet,2026-05-20,doc-summarizer,8656966,1122488,897,42.81,0,0,4328483,346279
anthropic,claude-3-5-sonnet,2026-05-21,doc-summarizer,8863963,1350135,982,46.84,0,0,4431982,354559
anthropic,claude-3-5-sonnet,2026-05-22,doc-summarizer,5015614,697346,521,25.51,0,0,2507807,200625
anthropic,claude-3-5-sonnet,2026-05-23,doc-summarizer,3903339,585355,429,20.49,0,0,1951670,156134
anthropic,claude-3-5-sonnet,2026-05-24,doc-summarizer,5866053,872765,672,30.69,0,0,2933027,234642
anthropic,claude-3-5-sonnet,2026-05-25,doc-summarizer,7029631,984068,751,35.85,0,0,3514816,281185
anthropic,claude-3-5-sonnet,2026-05-26,doc-summarizer,7758721,1097551,837,39.74,0,0,3879361,310349
anthropic,claude-3-5-sonnet,2026-05-27,doc-summarizer,8050839,1240652,888,42.76,0,0,4025420,322034
anthropic,claude-3-5-sonnet,2026-05-28,doc-summarizer,7796721,1089778,804,39.74,0,0,3898361,311869
anthropic,claude-3-5-sonnet,2026-05-29,doc-summarizer,5383050,818983,617,28.43,0,0,2691525,215322
anthropic,claude-3-5-sonnet,2026-05-30,doc-summarizer,6903628,1027763,747,36.13,0,0,3451814,276145
anthropic,claude-3-5-sonnet,2026-05-31,doc-summarizer,24072156,3755332,2724,128.55,0,0,12036078,962886
anthropic,claude-3-5-sonnet,2026-06-01,doc-summarizer,11409765,1800992,1306,61.24,0,0,5704883,456391
anthropic,claude-3-5-sonnet,2026-06-02,doc-summarizer,9940082,1418644,1120,51.10,0,0,4970041,397603
anthropic,claude-3-5-sonnet,2026-06-03,doc-summarizer,10983446,1663236,1214,57.90,0,0,5491723,439338
anthropic,claude-3-5-sonnet,2026-06-04,doc-summarizer,10160051,1525150,1108,53.36,0,0,5080026,406402
anthropic,claude-3-5-sonnet,2026-06-05,doc-summarizer,6149847,813752,663,30.66,0,0,3074924,245994
anthropic,claude-3-5-sonnet,2026-06-06,doc-summarizer,6458829,1037213,743,34.93,0,0,3229415,258353
anthropic,claude-3-5-sonnet,2026-06-07,doc-summarizer,9510634,1327101,1059,48.44,0,0,4755317,380425
anthropic,claude-3-5-sonnet,2026-06-08,doc-summarizer,7534408,1112258,820,39.29,0,0,3767204,301376
openai,gpt-4o-mini,2026-05-10,batch-classifier,98547824,17456240,52738,25.26,4571,0,0,0
openai,gpt-4o-mini,2026-05-11,batch-classifier,93974918,18566602,54971,25.24,4764,0,0,0
openai,gpt-4o-mini,2026-05-12,batch-classifier,127064936,21374295,66320,31.88,5748,0,0,0
openai,gpt-4o-mini,2026-05-13,batch-classifier,118908912,19784240,66365,29.71,5752,0,0,0
openai,gpt-4o-mini,2026-05-14,batch-classifier,105591823,19953201,58663,27.81,5084,0,0,0
openai,gpt-4o-mini,2026-05-15,batch-classifier,73123292,12485537,39516,18.46,3425,0,0,0
openai,gpt-4o-mini,2026-05-16,batch-classifier,63941026,11684994,35851,16.60,3107,0,0,0
openai,gpt-4o-mini,2026-05-17,batch-classifier,118770792,20463770,63767,30.09,5526,0,0,0
openai,gpt-4o-mini,2026-05-18,batch-classifier,106802459,19394402,64012,27.66,5548,0,0,0
openai,gpt-4o-mini,2026-05-19,batch-classifier,88836150,15856807,52750,22.84,4572,0,0,0
openai,gpt-4o-mini,2026-05-20,batch-classifier,79100594,15101895,44839,20.93,3886,0,0,0
openai,gpt-4o-mini,2026-05-21,batch-classifier,93172728,16175562,49108,23.68,4256,0,0,0
openai,gpt-4o-mini,2026-05-22,batch-classifier,43762862,7710809,26043,11.19,2257,0,0,0
openai,gpt-4o-mini,2026-05-23,batch-classifier,37220286,7089288,21467,9.84,1860,0,0,0
openai,gpt-4o-mini,2026-05-24,batch-classifier,58291041,11372328,33623,15.57,2914,0,0,0
openai,gpt-4o-mini,2026-05-25,batch-classifier,68971991,12805633,37560,18.03,3255,0,0,0
openai,gpt-4o-mini,2026-05-26,batch-classifier,79989065,13056928,41840,19.83,3626,0,0,0
openai,gpt-4o-mini,2026-05-27,batch-classifier,74785507,14493938,44390,19.91,3847,0,0,0
openai,gpt-4o-mini,2026-05-28,batch-classifier,69321648,12818423,40185,18.09,3483,0,0,0
openai,gpt-4o-mini,2026-05-29,batch-classifier,53591862,9498044,30866,13.74,2675,0,0,0
openai,gpt-4o-mini,2026-05-30,batch-classifier,69571566,11983292,37334,17.63,3236,0,0,0
openai,gpt-4o-mini,2026-05-31,batch-classifier,244659240,44218868,136181,63.23,11802,0,0,0
openai,gpt-4o-mini,2026-06-01,batch-classifier,110152736,21831599,65279,29.62,5658,0,0,0
openai,gpt-4o-mini,2026-06-02,batch-classifier,103845952,19119570,55998,27.05,4853,0,0,0
openai,gpt-4o-mini,2026-06-03,batch-classifier,102540492,18049826,60690,26.21,5260,0,0,0
openai,gpt-4o-mini,2026-06-04,batch-classifier,92294742,17280002,55414,24.21,4803,0,0,0
openai,gpt-4o-mini,2026-06-05,batch-classifier,57151243,10142878,33128,14.66,2871,0,0,0
openai,gpt-4o-mini,2026-06-06,batch-classifier,72095382,12038882,37139,18.04,3219,0,0,0
openai,gpt-4o-mini,2026-06-07,batch-classifier,100515813,16518045,52961,24.99,4590,0,0,0
openai,gpt-4o-mini,2026-06-08,batch-classifier,75564760,12138338,41002,18.62,3553,0,0,0
openai,o3,2026-05-10,reasoning-jobs,5473096,3979463,2110,213.91,0,2586651,0,0
openai,o3,2026-05-11,reasoning-jobs,5388324,3771016,2199,204.72,0,2451160,0,0
openai,o3,2026-05-12,reasoning-jobs,6935456,4779278,2653,260.53,0,3106531,0,0
openai,o3,2026-05-13,reasoning-jobs,6253171,4459756,2655,240.92,0,2898841,0,0
openai,o3,2026-05-14,reasoning-jobs,6123374,4178384,2347,228.37,0,2715950,0,0
openai,o3,2026-05-15,reasoning-jobs,4186722,2978811,1581,161.02,0,1936227,0,0
openai,o3,2026-05-16,reasoning-jobs,3581288,2767700,1434,146.52,0,1799005,0,0
openai,o3,2026-05-17,reasoning-jobs,6046296,4331352,2551,233.72,0,2815379,0,0
openai,o3,2026-05-18,reasoning-jobs,6453369,4736743,2560,254.00,0,3078883,0,0
openai,o3,2026-05-19,reasoning-jobs,5027338,3962174,2110,208.76,0,2575413,0,0
openai,o3,2026-05-20,reasoning-jobs,4299355,3040614,1794,164.62,0,1976399,0,0
openai,o3,2026-05-21,reasoning-jobs,5035607,3593340,1964,194.09,0,2335671,0,0
openai,o3,2026-05-22,reasoning-jobs,2628103,1787171,1042,97.77,0,1161661,0,0
openai,o3,2026-05-23,reasoning-jobs,2292511,1551583,859,84.99,0,1008529,0,0
openai,o3,2026-05-24,reasoning-jobs,3494372,2246630,1345,124.81,0,1460310,0,0
openai,o3,2026-05-25,reasoning-jobs,4029878,2738363,1502,149.83,0,1779936,0,0
openai,o3,2026-05-26,reasoning-jobs,4040330,2794835,1674,152.20,0,1816643,0,0
openai,o3,2026-05-27,reasoning-jobs,4316583,3305211,1776,175.37,0,2148387,0,0
openai,o3,2026-05-28,reasoning-jobs,4185272,2777375,1607,152.95,0,1805294,0,0
openai,o3,2026-05-29,reasoning-jobs,3266711,2207283,1235,120.96,0,1434734,0,0
openai,o3,2026-05-30,reasoning-jobs,3542977,2748740,1493,145.38,0,1786681,0,0
openai,o3,2026-05-31,reasoning-jobs,13633872,9315754,5447,508.97,0,6055240,0,0
openai,o3,2026-06-01,reasoning-jobs,6895650,4389583,2611,244.54,0,2853229,0,0
openai,o3,2026-06-02,reasoning-jobs,5274167,4351327,2240,226.79,0,2828363,0,0
openai,o3,2026-06-03,reasoning-jobs,5789966,4350531,2428,231.92,0,2827845,0,0
openai,o3,2026-06-04,reasoning-jobs,5550216,4066984,2217,218.18,0,2643540,0,0
openai,o3,2026-06-05,reasoning-jobs,3304303,2451500,1325,131.10,0,1593475,0,0
openai,o3,2026-06-06,reasoning-jobs,3511928,2879814,1486,150.31,0,1871879,0,0
openai,o3,2026-06-07,reasoning-jobs,5573928,3718646,2118,204.49,0,2417120,0,0
openai,o3,2026-06-08,reasoning-jobs,3906398,2960552,1640,157.49,0,1924359,0,0
openai,gpt-4o,2026-05-10,default,8058466,1341749,3867,33.56,0,0,0,0
openai,gpt-4o,2026-05-11,default,8042881,1354909,4031,33.66,0,0,0,0
openai,gpt-4o,2026-05-12,default,9724973,1575368,4863,40.07,0,0,0,0
openai,gpt-4o,2026-05-13,default,10297316,1666274,4867,42.41,0,0,0,0
openai,gpt-4o,2026-05-14,default,8502173,1445843,4302,35.71,0,0,0,0
openai,gpt-4o,2026-05-15,default,5799678,939807,2898,23.90,0,0,0,0
openai,gpt-4o,2026-05-16,default,5397529,856073,2629,22.05,0,0,0,0
openai,gpt-4o,2026-05-17,default,9952242,1705517,4676,41.94,0,0,0,0
openai,gpt-4o,2026-05-18,default,9625208,1724408,4694,41.31,0,0,0,0
openai,gpt-4o,2026-05-19,default,7183659,1372574,3868,31.68,0,0,0,0
openai,gpt-4o,2026-05-20,default,6627481,1147421,3288,28.04,0,0,0,0
openai,gpt-4o,2026-05-21,default,7216344,1255386,3601,30.59,0,0,0,0
openai,gpt-4o,2026-05-22,default,3789771,676756,1910,16.24,0,0,0,0
openai,gpt-4o,2026-05-23,default,2904370,569259,1574,12.95,0,0,0,0
openai,gpt-4o,2026-05-24,default,4540364,889490,2466,20.25,0,0,0,0
openai,gpt-4o,2026-05-25,default,5228839,943697,2754,22.51,0,0,0,0
openai,gpt-4o,2026-05-26,default,6357654,1147870,3068,27.37,0,0,0,0
openai,gpt-4o,2026-05-27,default,6279822,1160778,3255,27.31,0,0,0,0
openai,gpt-4o,2026-05-28,default,6273688,1025199,2947,25.94,0,0,0,0
openai,gpt-4o,2026-05-29,default,4198795,800950,2264,18.51,0,0,0,0
openai,gpt-4o,2026-05-30,default,5471549,949410,2738,23.17,0,0,0,0
openai,gpt-4o,2026-05-31,default,19872835,3637397,9987,86.06,0,0,0,0
openai,gpt-4o,2026-06-01,default,8993941,1733045,4787,39.82,0,0,0,0
openai,gpt-4o,2026-06-02,default,8338947,1539930,4107,36.25,0,0,0,0
openai,gpt-4o,2026-06-03,default,9376473,1552688,4451,38.97,0,0,0,0
openai,gpt-4o,2026-06-04,default,7488499,1515822,4064,33.88,0,0,0,0
openai,gpt-4o,2026-06-05,default,4517736,852337,2429,19.82,0,0,0,0
openai,gpt-4o,2026-06-06,default,5434497,980786,2723,23.39,0,0,0,0
openai,gpt-4o,2026-06-07,default,7836554,1383350,3884,33.42,0,0,0,0
openai,gpt-4o,2026-06-08,default,6352639,1080115,3007,26.68,0,0,0,0
gemini,gemini-1.5-pro,2026-05-10,internal-tools,7334157,1332543,3094,15.83,0,0,0,0
gemini,gemini-1.5-pro,2026-05-11,internal-tools,7625279,1354325,3225,16.30,0,0,0,0
gemini,gemini-1.5-pro,2026-05-12,internal-tools,9186707,1633911,3891,19.65,0,0,0,0
gemini,gemini-1.5-pro,2026-05-13,internal-tools,8097743,1454860,3893,17.40,0,0,0,0
gemini,gemini-1.5-pro,2026-05-14,internal-tools,8169654,1274317,3442,16.58,0,0,0,0
gemini,gemini-1.5-pro,2026-05-15,internal-tools,5092383,982726,2318,11.28,0,0,0,0
gemini,gemini-1.5-pro,2026-05-16,internal-tools,4759244,878359,2103,10.34,0,0,0,0
gemini,gemini-1.5-pro,2026-05-17,internal-tools,8003217,1577945,3741,17.89,0,0,0,0
gemini,gemini-1.5-pro,2026-05-18,internal-tools,8199879,1603679,3755,18.27,0,0,0,0
gemini,gemini-1.5-pro,2026-05-19,internal-tools,6978654,1188586,3095,14.67,0,0,0,0
gemini,gemini-1.5-pro,2026-05-20,internal-tools,5469749,1031261,2631,11.99,0,0,0,0
gemini,gemini-1.5-pro,2026-05-21,internal-tools,6565986,1069499,2881,13.55,0,0,0,0
gemini,gemini-1.5-pro,2026-05-22,internal-tools,3166909,585713,1528,6.89,0,0,0,0
gemini,gemini-1.5-pro,2026-05-23,internal-tools,2823372,493469,1259,6.00,0,0,0,0
gemini,gemini-1.5-pro,2026-05-24,internal-tools,4434653,849111,1973,9.79,0,0,0,0
gemini,gemini-1.5-pro,2026-05-25,internal-tools,4776458,922448,2203,10.58,0,0,0,0
gemini,gemini-1.5-pro,2026-05-26,internal-tools,5607947,905959,2455,11.54,0,0,0,0
gemini,gemini-1.5-pro,2026-05-27,internal-tools,5897579,1104143,2604,12.89,0,0,0,0
gemini,gemini-1.5-pro,2026-05-28,internal-tools,4983729,957148,2358,11.02,0,0,0,0
gemini,gemini-1.5-pro,2026-05-29,internal-tools,4238846,720565,1811,8.90,0,0,0,0
gemini,gemini-1.5-pro,2026-05-30,internal-tools,4726524,923928,2190,10.53,0,0,0,0
gemini,gemini-1.5-pro,2026-05-31,internal-tools,17944679,3101066,7989,37.94,0,0,0,0
gemini,gemini-1.5-pro,2026-06-01,internal-tools,8378289,1539194,3830,18.17,0,0,0,0
gemini,gemini-1.5-pro,2026-06-02,internal-tools,7800359,1245184,3285,15.98,0,0,0,0
gemini,gemini-1.5-pro,2026-06-03,internal-tools,7950485,1327069,3560,16.57,0,0,0,0
gemini,gemini-1.5-pro,2026-06-04,internal-tools,7317101,1361875,3251,15.96,0,0,0,0
gemini,gemini-1.5-pro,2026-06-05,internal-tools,4229306,789182,1943,9.23,0,0,0,0
gemini,gemini-1.5-pro,2026-06-06,internal-tools,5050601,856527,2179,10.60,0,0,0,0
gemini,gemini-1.5-pro,2026-06-07,internal-tools,6932562,1176986,3107,14.55,0,0,0,0
gemini,gemini-1.5-pro,2026-06-08,internal-tools,5694410,912941,2405,11.68,0,0,0,0
