provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
openai,gpt-4o,2026-05-30,support-bot,5589153,1043308,3726,24.41,0
openai,gpt-4o,2026-05-31,support-bot,5123390,956366,3416,22.37,0
openai,gpt-4o,2026-06-01,support-bot,4657627,869424,3105,20.34,0
openai,gpt-4o,2026-06-02,support-bot,4424746,825953,2950,19.32,0
openai,gpt-4o,2026-06-03,support-bot,3027458,565125,2018,13.22,0
openai,gpt-4o,2026-06-04,support-bot,2794576,521654,1863,12.20,0
openai,gpt-4o,2026-06-05,support-bot,4657627,869424,3105,20.34,0
openai,gpt-4o,2026-06-06,support-bot,4890508,912895,3260,21.36,0
anthropic,claude-3-5-sonnet,2026-05-08,doc-summarizer,8264746,1193797,918,42.71,0
anthropic,claude-3-5-sonnet,2026-05-09,doc-summarizer,9183051,1326441,1020,47.46,0
anthropic,claude-3-5-sonnet,2026-05-10,doc-summarizer,9642203,1392763,1071,49.83,0
anthropic,claude-3-5-sonnet,2026-05-11,doc-summarizer,9183051,1326441,1020,47.46,0
anthropic,claude-3-5-sonnet,2026-05-12,doc-summarizer,8723898,1260119,969,45.08,0
anthropic,claude-3-5-sonnet,2026-05-13,doc-summarizer,5509831,795864,612,28.47,0
anthropic,claude-3-5-sonnet,2026-05-14,doc-summarizer,5050678,729542,561,26.10,0
anthropic,claude-3-5-sonnet,2026-05-15,doc-summarizer,8723898,1260119,969,45.08,0
anthropic,claude-3-5-sonnet,2026-05-16,doc-summarizer,10101356,1459085,1122,52.20,0
anthropic,claude-3-5-sonnet,2026-05-17,doc-summarizer,10560508,1525407,1173,54.58,0
anthropic,claude-3-5-sonnet,2026-05-18,doc-summarizer,9642203,1392763,1071,49.83,0
anthropic,claude-3-5-sonnet,2026-05-19,doc-summarizer,9183051,1326441,1020,47.46,0
anthropic,claude-3-5-sonnet,2026-05-20,doc-summarizer,5968983,862186,663,30.85,0
anthropic,claude-3-5-sonnet,2026-05-21,doc-summarizer,5509831,795864,612,28.47,0
anthropic,claude-3-5-sonnet,2026-05-22,doc-summarizer,9183051,1326441,1020,47.46,0
anthropic,claude-3-5-sonnet,2026-05-23,doc-summarizer,10101356,1459085,1122,52.20,0
anthropic,claude-3-5-sonnet,2026-05-24,doc-summarizer,11019661,1591729,1224,56.95,0
anthropic,claude-3-5-sonnet,2026-05-25,doc-summarizer,10560508,1525407,1173,54.58,0
anthropic,claude-3-5-sonnet,2026-05-26,doc-summarizer,9642203,1392763,1071,49.83,0
anthropic,claude-3-5-sonnet,2026-05-27,doc-summarizer,6428136,928508,714,33.22,0
anthropic,claude-3-5-sonnet,2026-05-28,doc-summarizer,5509831,795864,612,28.47,0
anthropic,claude-3-5-sonnet,2026-05-29,doc-summarizer,23875932,3448746,2653,123.39,0
anthropic,claude-3-5-sonnet,2026-05-30,doc-summarizer,11019661,1591729,1224,56.95,0
anthropic,claude-3-5-sonnet,2026-05-31,doc-summarizer,10101356,1459085,1122,52.20,0
anthropic,claude-3-5-sonnet,2026-06-01,doc-summarizer,9183051,1326441,1020,47.46,0
anthropic,claude-3-5-sonnet,2026-06-02,doc-summarizer,8723898,1260119,969,45.08,0
anthropic,claude-3-5-sonnet,2026-06-03,doc-summarizer,5968983,862186,663,30.85,0
anthropic,claude-3-5-sonnet,2026-06-04,doc-summarizer,5509831,795864,612,28.47,0
anthropic,claude-3-5-sonnet,2026-06-05,doc-summarizer,9183051,1326441,1020,47.46,0
anthropic,claude-3-5-sonnet,2026-06-06,doc-summarizer,9642203,1392763,1071,49.83,0
openai,gpt-4o-mini,2026-05-08,batch-classifier,83196610,14790508,46220,21.36,3966
openai,gpt-4o-mini,2026-05-09,batch-classifier,92440678,16433898,51356,23.73,4407
openai,gpt-4o-mini,2026-05-10,batch-classifier,97062712,17255593,53924,24.92,4627
openai,gpt-4o-mini,2026-05-11,batch-classifier,92440678,16433898,51356,23.73,4407
openai,gpt-4o-mini,2026-05-12,batch-classifier,87818644,15612203,48788,22.54,4186
openai,gpt-4o-mini,2026-05-13,batch-classifier,55464407,9860339,30814,14.24,2644
openai,gpt-4o-mini,2026-05-14,batch-classifier,50842373,9038644,28246,13.05,2424
openai,gpt-4o-mini,2026-05-15,batch-classifier,87818644,15612203,48788,22.54,4186
openai,gpt-4o-mini,2026-05-16,batch-classifier,101684746,18077288,56492,26.10,4847
openai,gpt-4o-mini,2026-05-17,batch-classifier,106306780,18898983,59059,27.29,5068
openai,gpt-4o-mini,2026-05-18,batch-classifier,97062712,17255593,53924,24.92,4627
openai,gpt-4o-mini,2026-05-19,batch-classifier,92440678,16433898,51356,23.73,4407
openai,gpt-4o-mini,2026-05-20,batch-classifier,60086441,10682034,33381,15.42,2864
openai,gpt-4o-mini,2026-05-21,batch-classifier,55464407,9860339,30814,14.24,2644
openai,gpt-4o-mini,2026-05-22,batch-classifier,92440678,16433898,51356,23.73,4407
openai,gpt-4o-mini,2026-05-23,batch-classifier,101684746,18077288,56492,26.10,4847
openai,gpt-4o-mini,2026-05-24,batch-classifier,110928814,19720678,61627,28.47,5288
openai,gpt-4o-mini,2026-05-25,batch-classifier,106306780,18898983,59059,27.29,5068
openai,gpt-4o-mini,2026-05-26,batch-classifier,97062712,17255593,53924,24.92,4627
openai,gpt-4o-mini,2026-05-27,batch-classifier,64708475,11503729,35949,16.61,3085
openai,gpt-4o-mini,2026-05-28,batch-classifier,55464407,9860339,30814,14.24,2644
openai,gpt-4o-mini,2026-05-29,batch-classifier,240345763,42728136,133525,61.69,11458
openai,gpt-4o-mini,2026-05-30,batch-classifier,110928814,19720678,61627,28.47,5288
openai,gpt-4o-mini,2026-05-31,batch-classifier,101684746,18077288,56492,26.10,4847
openai,gpt-4o-mini,2026-06-01,batch-classifier,92440678,16433898,51356,23.73,4407
openai,gpt-4o-mini,2026-06-02,batch-classifier,87818644,15612203,48788,22.54,4186
openai,gpt-4o-mini,2026-06-03,batch-classifier,60086441,10682034,33381,15.42,2864
openai,gpt-4o-mini,2026-06-04,batch-classifier,55464407,9860339,30814,14.24,2644
openai,gpt-4o-mini,2026-06-05,batch-classifier,92440678,16433898,51356,23.73,4407
openai,gpt-4o-mini,2026-06-06,batch-classifier,97062712,17255593,53924,24.92,4627
gemini,gemini-1.5-pro,2026-05-08,internal-tools,5933288,1078780,2697,12.81,0
gemini,gemini-1.5-pro,2026-05-09,internal-tools,6592542,1198644,2997,14.24,0
gemini,gemini-1.5-pro,2026-05-10,internal-tools,6922169,1258576,3146,14.95,0
gemini,gemini-1.5-pro,2026-05-11,internal-tools,6592542,1198644,2997,14.24,0
gemini,gemini-1.5-pro,2026-05-12,internal-tools,6262915,1138712,2847,13.53,0
gemini,gemini-1.5-pro,2026-05-13,internal-tools,3955525,719186,1798,8.54,0
gemini,gemini-1.5-pro,2026-05-14,internal-tools,3625898,659254,1648,7.83,0
gemini,gemini-1.5-pro,2026-05-15,internal-tools,6262915,1138712,2847,13.53,0
gemini,gemini-1.5-pro,2026-05-16,internal-tools,7251797,1318508,3296,15.66,0
gemini,gemini-1.5-pro,2026-05-17,internal-tools,7581424,1378441,3446,16.37,0
gemini,gemini-1.5-pro,2026-05-18,internal-tools,6922169,1258576,3146,14.95,0
gemini,gemini-1.5-pro,2026-05-19,internal-tools,6592542,1198644,2997,14.24,0
gemini,gemini-1.5-pro,2026-05-20,internal-tools,4285153,779119,1948,9.25,0
gemini,gemini-1.5-pro,2026-05-21,internal-tools,3955525,719186,1798,8.54,0
gemini,gemini-1.5-pro,2026-05-22,internal-tools,6592542,1198644,2997,14.24,0
gemini,gemini-1.5-pro,2026-05-23,internal-tools,7251797,1318508,3296,15.66,0
gemini,gemini-1.5-pro,2026-05-24,internal-tools,7911051,1438373,3596,17.08,0
gemini,gemini-1.5-pro,2026-05-25,internal-tools,7581424,1378441,3446,16.37,0
gemini,gemini-1.5-pro,2026-05-26,internal-tools,6922169,1258576,3146,14.95,0
gemini,gemini-1.5-pro,2026-05-27,internal-tools,4614780,839051,2098,9.97,0
gemini,gemini-1.5-pro,2026-05-28,internal-tools,3955525,719186,1798,8.54,0
gemini,gemini-1.5-pro,2026-05-29,internal-tools,17140610,3116475,7791,37.02,0
gemini,gemini-1.5-pro,2026-05-30,internal-tools,7911051,1438373,3596,17.08,0
gemini,gemini-1.5-pro,2026-05-31,internal-tools,7251797,1318508,3296,15.66,0
gemini,gemini-1.5-pro,2026-06-01,internal-tools,6592542,1198644,2997,14.24,0
gemini,gemini-1.5-pro,2026-06-02,internal-tools,6262915,1138712,2847,13.53,0
gemini,gemini-1.5-pro,2026-06-03,internal-tools,4285153,779119,1948,9.25,0
gemini,gemini-1.5-pro,2026-06-04,internal-tools,3955525,719186,1798,8.54,0
gemini,gemini-1.5-pro,2026-06-05,internal-tools,6592542,1198644,2997,14.24,0
gemini,gemini-1.5-pro,2026-06-06,internal-tools,6922169,1258576,3146,14.95,0
