provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
gemini,gemini-1.5-flash,2026-06-06,tagging,179389831,22423729,149492,27.76,0
anthropic,claude-3-5-haiku,2026-05-08,inbox-assist,38440678,6040678,27458,25.02,0
anthropic,claude-3-5-haiku,2026-05-09,inbox-assist,42711864,6711864,30508,27.80,0
anthropic,claude-3-5-haiku,2026-05-10,inbox-assist,44847458,7047458,32034,29.19,0
anthropic,claude-3-5-haiku,2026-05-11,inbox-assist,42711864,6711864,30508,27.80,0
anthropic,claude-3-5-haiku,2026-05-12,inbox-assist,40576271,6376271,28983,26.41,0
anthropic,claude-3-5-haiku,2026-05-13,inbox-assist,25627119,4027119,18305,16.68,0
anthropic,claude-3-5-haiku,2026-05-14,inbox-assist,23491525,3691525,16780,15.29,0
anthropic,claude-3-5-haiku,2026-05-15,inbox-assist,40576271,6376271,28983,26.41,0
anthropic,claude-3-5-haiku,2026-05-16,inbox-assist,46983051,7383051,33559,30.58,0
anthropic,claude-3-5-haiku,2026-05-17,inbox-assist,49118644,7718644,35085,31.97,0
anthropic,claude-3-5-haiku,2026-05-18,inbox-assist,44847458,7047458,32034,29.19,0
anthropic,claude-3-5-haiku,2026-05-19,inbox-assist,42711864,6711864,30508,27.80,0
anthropic,claude-3-5-haiku,2026-05-20,inbox-assist,27762712,4362712,19831,18.07,0
anthropic,claude-3-5-haiku,2026-05-21,inbox-assist,25627119,4027119,18305,16.68,0
anthropic,claude-3-5-haiku,2026-05-22,inbox-assist,42711864,6711864,30508,27.80,0
anthropic,claude-3-5-haiku,2026-05-23,inbox-assist,46983051,7383051,33559,30.58,0
anthropic,claude-3-5-haiku,2026-05-24,inbox-assist,51254237,8054237,36610,33.36,0
anthropic,claude-3-5-haiku,2026-05-25,inbox-assist,49118644,7718644,35085,31.97,0
anthropic,claude-3-5-haiku,2026-05-26,inbox-assist,44847458,7047458,32034,29.19,0
anthropic,claude-3-5-haiku,2026-05-27,inbox-assist,29898305,4698305,21356,19.46,0
anthropic,claude-3-5-haiku,2026-05-28,inbox-assist,25627119,4027119,18305,16.68,0
anthropic,claude-3-5-haiku,2026-05-29,inbox-assist,111050847,17450847,79322,72.27,0
anthropic,claude-3-5-haiku,2026-05-30,inbox-assist,51254237,8054237,36610,33.36,0
anthropic,claude-3-5-haiku,2026-05-31,inbox-assist,46983051,7383051,33559,30.58,0
anthropic,claude-3-5-haiku,2026-06-01,inbox-assist,42711864,6711864,30508,27.80,0
anthropic,claude-3-5-haiku,2026-06-02,inbox-assist,40576271,6376271,28983,26.41,0
anthropic,claude-3-5-haiku,2026-06-03,inbox-assist,27762712,4362712,19831,18.07,0
anthropic,claude-3-5-haiku,2026-06-04,inbox-assist,25627119,4027119,18305,16.68,0
anthropic,claude-3-5-haiku,2026-06-05,inbox-assist,42711864,6711864,30508,27.80,0
anthropic,claude-3-5-haiku,2026-06-06,inbox-assist,44847458,7047458,32034,29.19,0
openai,gpt-4o-mini,2026-05-08,moderation,91220339,11227119,70169,23.19,0
openai,gpt-4o-mini,2026-05-09,moderation,101355932,12474576,77966,25.76,0
openai,gpt-4o-mini,2026-05-10,moderation,106423729,13098305,81864,27.05,0
openai,gpt-4o-mini,2026-05-11,moderation,101355932,12474576,77966,25.76,0
openai,gpt-4o-mini,2026-05-12,moderation,96288136,11850847,74068,24.47,0
openai,gpt-4o-mini,2026-05-13,moderation,60813559,7484746,46780,15.46,0
openai,gpt-4o-mini,2026-05-14,moderation,55745763,6861017,42881,14.17,0
openai,gpt-4o-mini,2026-05-15,moderation,96288136,11850847,74068,24.47,0
openai,gpt-4o-mini,2026-05-16,moderation,111491525,13722034,85763,28.34,0
openai,gpt-4o-mini,2026-05-17,moderation,116559322,14345763,89661,29.63,0
openai,gpt-4o-mini,2026-05-18,moderation,106423729,13098305,81864,27.05,0
openai,gpt-4o-mini,2026-05-19,moderation,101355932,12474576,77966,25.76,0
openai,gpt-4o-mini,2026-05-20,moderation,65881356,8108475,50678,16.75,0
openai,gpt-4o-mini,2026-05-21,moderation,60813559,7484746,46780,15.46,0
openai,gpt-4o-mini,2026-05-22,moderation,101355932,12474576,77966,25.76,0
openai,gpt-4o-mini,2026-05-23,moderation,111491525,13722034,85763,28.34,0
openai,gpt-4o-mini,2026-05-24,moderation,121627119,14969492,93559,30.92,0
openai,gpt-4o-mini,2026-05-25,moderation,116559322,14345763,89661,29.63,0
openai,gpt-4o-mini,2026-05-26,moderation,106423729,13098305,81864,27.05,0
openai,gpt-4o-mini,2026-05-27,moderation,70949153,8732203,54576,18.03,0
openai,gpt-4o-mini,2026-05-28,moderation,60813559,7484746,46780,15.46,0
openai,gpt-4o-mini,2026-05-29,moderation,263525424,32433898,202712,66.98,0
openai,gpt-4o-mini,2026-05-30,moderation,121627119,14969492,93559,30.92,0
openai,gpt-4o-mini,2026-05-31,moderation,111491525,13722034,85763,28.34,0
openai,gpt-4o-mini,2026-06-01,moderation,101355932,12474576,77966,25.76,0
openai,gpt-4o-mini,2026-06-02,moderation,96288136,11850847,74068,24.47,0
openai,gpt-4o-mini,2026-06-03,moderation,65881356,8108475,50678,16.75,0
openai,gpt-4o-mini,2026-06-04,moderation,60813559,7484746,46780,15.46,0
openai,gpt-4o-mini,2026-06-05,moderation,101355932,12474576,77966,25.76,0
openai,gpt-4o-mini,2026-06-06,moderation,106423729,13098305,81864,27.05,0
