date,model,workspace,requests,uncached_input_tokens,cache_read_input_tokens,cache_creation_input_tokens,output_tokens,cost,errors
2026-06-07,claude-opus-4,assistant-api,9686,11544323,15117566,824595,7273263,756.80,0
2026-06-08,claude-opus-4,assistant-api,4191,5475421,7170194,391102,2868494,315.36,0
2026-06-09,claude-opus-4,assistant-api,4012,4919373,6442036,351384,2999512,315.01,0
2026-06-10,claude-opus-4,assistant-api,3766,4432116,5803961,316580,2507367,269.18,0
2026-06-11,claude-opus-4,assistant-api,3438,4444808,5820581,317486,2586408,275.34,0
2026-06-12,claude-opus-4,assistant-api,2292,2708938,3547420,193496,1700227,177.10,0
2026-06-13,claude-opus-4,assistant-api,2203,2571254,3367119,183661,1628613,169.21,0
2026-06-14,claude-opus-4,assistant-api,2741,3706635,4853927,264760,1916432,211.58,0
2026-06-15,claude-opus-4,assistant-api,2655,3118734,4084056,222767,1866963,197.11,0
2026-05-17,claude-3-5-sonnet,summarizer,1185,4499829,5892632,321416,1576531,40.12,0
2026-05-18,claude-3-5-sonnet,summarizer,1427,5934053,7770784,423861,2017529,51.99,0
2026-05-19,claude-3-5-sonnet,summarizer,1654,6722334,8803057,480167,2409119,60.75,0
2026-05-20,claude-3-5-sonnet,summarizer,1532,6209987,8132125,443570,2311853,57.41,0
2026-05-21,claude-3-5-sonnet,summarizer,1649,6371442,8343555,455103,2278171,57.50,0
2026-05-22,claude-3-5-sonnet,summarizer,1075,4434516,5807104,316751,1566867,39.74,0
2026-05-23,claude-3-5-sonnet,summarizer,1150,4827542,6321781,344824,1591764,41.55,0
2026-05-24,claude-3-5-sonnet,summarizer,1557,6230565,8159072,445040,2006040,52.90,0
2026-05-25,claude-3-5-sonnet,summarizer,1621,6499773,8511606,464269,2436678,60.34,0
2026-05-26,claude-3-5-sonnet,summarizer,1362,5496303,7197539,392593,2015898,50.36,0
2026-05-27,claude-3-5-sonnet,summarizer,1074,4574013,5989779,326715,1443937,38.40,0
2026-05-28,claude-3-5-sonnet,summarizer,1076,4545317,5952201,324666,1510682,39.30,0
2026-05-29,claude-3-5-sonnet,summarizer,653,2731306,3576710,195093,865687,22.98,0
2026-05-30,claude-3-5-sonnet,summarizer,556,2377739,3113707,169839,831506,21.18,0
2026-05-31,claude-3-5-sonnet,summarizer,854,3436589,4500295,245471,1144734,29.75,0
2026-06-01,claude-3-5-sonnet,summarizer,890,3612132,4730173,258009,1226626,31.62,0
2026-06-02,claude-3-5-sonnet,summarizer,1161,4790137,6272799,342153,1596020,41.48,0
2026-06-03,claude-3-5-sonnet,summarizer,1105,4587282,6007155,327663,1651817,41.57,0
2026-06-04,claude-3-5-sonnet,summarizer,1121,4125452,5402377,294675,1485849,37.39,0
2026-06-05,claude-3-5-sonnet,summarizer,735,2801721,3668920,200123,986584,25.06,0
2026-06-06,claude-3-5-sonnet,summarizer,1015,4300560,5631686,307183,1434608,37.26,0
2026-06-07,claude-3-5-sonnet,summarizer,4305,17049150,22326267,1217796,5948149,151.63,0
2026-06-08,claude-3-5-sonnet,summarizer,1863,7997143,10472449,571225,2672086,69.36,0
2026-06-09,claude-3-5-sonnet,summarizer,1783,7207420,9438288,514816,2548188,64.61,0
2026-06-10,claude-3-5-sonnet,summarizer,1674,7044235,9224595,503160,2231014,59.25,0
2026-06-11,claude-3-5-sonnet,summarizer,1528,5692807,7454866,406629,2132827,52.83,0
2026-06-12,claude-3-5-sonnet,summarizer,1019,4071913,5332267,290851,1312820,34.60,0
2026-06-13,claude-3-5-sonnet,summarizer,979,4214225,5518627,301016,1436169,36.97,0
2026-06-14,claude-3-5-sonnet,summarizer,1218,5066457,6634646,361890,1664829,43.52,0
2026-06-15,claude-3-5-sonnet,summarizer,1180,4640178,6076423,331441,1626375,41.38,0
2026-05-17,claude-3-5-haiku,classify-bot,47406,52427366,68654884,3744812,16234751,116.12,3259
2026-05-18,claude-3-5-haiku,classify-bot,57065,61095220,80005645,4363944,18216200,132.51,3923
2026-05-19,claude-3-5-haiku,classify-bot,66168,68543156,89758895,4895940,21784134,154.05,4549
2026-05-20,claude-3-5-haiku,classify-bot,61280,64014901,83829037,4572493,18077879,134.80,4213
2026-05-21,claude-3-5-haiku,classify-bot,65953,70377308,92160761,5026951,21386514,154.25,4534
2026-05-22,claude-3-5-haiku,classify-bot,42996,49101914,64300126,3507280,14024576,104.03,2956
2026-05-23,claude-3-5-haiku,classify-bot,45990,51776182,67802144,3698299,14536347,108.69,3162
2026-05-24,claude-3-5-haiku,classify-bot,62266,63797639,83544528,4556974,19343063,139.65,4281
2026-05-25,claude-3-5-haiku,classify-bot,64838,65306059,85519839,4664719,19103106,140.16,4458
2026-05-26,claude-3-5-haiku,classify-bot,54471,55992564,73323597,3999469,16167114,119.33,3745
2026-05-27,claude-3-5-haiku,classify-bot,42954,50019132,65501244,3572795,13842167,104.20,2953
2026-05-28,claude-3-5-haiku,classify-bot,43024,49728064,65120085,3552005,14844390,107.92,2958
2026-05-29,claude-3-5-haiku,classify-bot,26133,27098828,35486562,1935631,8797593,61.64,1797
2026-05-30,claude-3-5-haiku,classify-bot,22232,24286248,31803420,1734732,7504354,53.73,1528
2026-05-31,claude-3-5-haiku,classify-bot,34144,38442165,50340931,2745869,10585724,79.87,2347
2026-06-01,claude-3-5-haiku,classify-bot,35617,40801980,53431165,2914427,11519930,85.91,2449
2026-06-02,claude-3-5-haiku,classify-bot,46442,49145027,64356583,3510359,14140612,104.54,3193
2026-06-03,claude-3-5-haiku,classify-bot,44216,51471010,67402513,3676501,14245600,107.23,3040
2026-06-04,claude-3-5-haiku,classify-bot,44850,48807490,63914570,3486249,13366023,101.11,3083
2026-06-05,claude-3-5-haiku,classify-bot,29416,29867355,39112013,2133383,9084282,65.49,2022
2026-06-06,claude-3-5-haiku,classify-bot,40594,42033806,55044271,3002415,13934275,96.77,2791
2026-06-07,claude-3-5-haiku,classify-bot,172188,190722675,249755884,13623048,51948405,393.98,11838
2026-06-08,claude-3-5-haiku,classify-bot,74502,86763124,113618376,6197366,22815407,175.96,5122
2026-06-09,claude-3-5-haiku,classify-bot,71331,75561478,98949553,5397248,24040840,169.93,4904
2026-06-10,claude-3-5-haiku,classify-bot,66944,76016015,99544782,5429715,20382376,155.74,4602
2026-06-11,claude-3-5-haiku,classify-bot,61127,71456823,93574411,5104059,19363832,147.21,4202
2026-06-12,claude-3-5-haiku,classify-bot,40749,47158012,61754539,3368429,13037749,98.19,2801
2026-06-13,claude-3-5-haiku,classify-bot,39170,44701016,58537045,3192930,12738876,94.59,2693
2026-06-14,claude-3-5-haiku,classify-bot,48729,49346056,64619834,3524718,14473118,106.06,3350
2026-06-15,claude-3-5-haiku,classify-bot,47206,50406352,66008318,3600454,14917941,108.88,3245
2026-05-17,claude-sonnet-4,knowledge-base,3555,8057818,10551904,575558,2123135,61.34,0
2026-05-18,claude-sonnet-4,knowledge-base,4280,9934489,13009450,709606,2394826,72.29,0
2026-05-19,claude-sonnet-4,knowledge-base,4963,11469704,15019851,819265,2778286,83.66,0
2026-05-20,claude-sonnet-4,knowledge-base,4596,9740694,12755672,695764,2751019,76.92,0
2026-05-21,claude-sonnet-4,knowledge-base,4946,11326853,14832783,809061,3194610,89.38,0
2026-05-22,claude-sonnet-4,knowledge-base,3225,7189057,9414241,513504,1827763,53.73,0
2026-05-23,claude-sonnet-4,knowledge-base,3449,7471871,9784594,533705,2077917,58.52,0
2026-05-24,claude-sonnet-4,knowledge-base,4670,10610049,13894112,757861,2730265,79.79,0
2026-05-25,claude-sonnet-4,knowledge-base,4863,10671871,13975069,762276,2865687,82.05,0
2026-05-26,claude-sonnet-4,knowledge-base,4085,9249616,12112592,660687,2383702,69.62,0
2026-05-27,claude-sonnet-4,knowledge-base,3222,6788803,8890098,484914,2001738,54.88,0
2026-05-28,claude-sonnet-4,knowledge-base,3227,6503959,8517089,464568,1880231,52.01,0
2026-05-29,claude-sonnet-4,knowledge-base,1960,4095525,5363186,292537,1087987,31.31,0
2026-05-30,claude-sonnet-4,knowledge-base,1667,3698473,4843240,264177,955774,27.88,0
2026-05-31,claude-sonnet-4,knowledge-base,2561,5442368,7126911,388741,1475287,42.05,0
2026-06-01,claude-sonnet-4,knowledge-base,2671,5627941,7369923,401996,1478077,42.77,0
2026-06-02,claude-sonnet-4,knowledge-base,3483,7164826,9382511,511773,2099468,57.72,0
2026-06-03,claude-sonnet-4,knowledge-base,3316,6870342,8996876,490739,2084625,56.42,0
2026-06-04,claude-sonnet-4,knowledge-base,3364,7724565,10115503,551755,2056125,59.12,0
2026-06-05,claude-sonnet-4,knowledge-base,2206,5087508,6662213,363393,1418876,39.91,0
2026-06-06,claude-sonnet-4,knowledge-base,3045,6403348,8385337,457382,1865099,51.42,0
2026-06-07,claude-sonnet-4,knowledge-base,12914,27849922,36470135,1989280,7310667,211.61,0
2026-06-08,claude-sonnet-4,knowledge-base,5588,12062034,15795522,861574,3254458,92.97,0
2026-06-09,claude-sonnet-4,knowledge-base,5350,11075980,14504258,791141,3352865,90.84,0
2026-06-10,claude-sonnet-4,knowledge-base,5021,11810914,15466673,843637,3084641,89.51,0
2026-06-11,claude-sonnet-4,knowledge-base,4585,10078326,13197807,719880,2755236,78.22,0
2026-06-12,claude-sonnet-4,knowledge-base,3056,6616444,8664390,472603,1977485,53.88,0
2026-06-13,claude-sonnet-4,knowledge-base,2938,6745412,8833277,481815,1688771,50.02,0
2026-06-14,claude-sonnet-4,knowledge-base,3655,8141989,10662129,581571,2323693,64.66,0
2026-06-15,claude-sonnet-4,knowledge-base,3540,7199466,9427873,514248,2145023,58.53,0
2026-05-17,claude-3-opus,assistant-api,356,757178,0,0,142257,22.03,0
2026-05-18,claude-3-opus,assistant-api,428,990367,0,0,173839,27.89,0
2026-05-19,claude-3-opus,assistant-api,496,1015452,0,0,190995,29.56,0
2026-05-20,claude-3-opus,assistant-api,460,1024879,0,0,194110,29.93,0
2026-05-21,claude-3-opus,assistant-api,495,1014212,0,0,212991,31.19,0
2026-05-22,claude-3-opus,assistant-api,322,660898,0,0,134984,20.04,0
2026-05-23,claude-3-opus,assistant-api,345,709797,0,0,127267,20.19,0
2026-05-24,claude-3-opus,assistant-api,467,1004662,0,0,201238,30.16,0
2026-05-25,claude-3-opus,assistant-api,486,1148304,0,0,208175,32.84,0
2026-05-26,claude-3-opus,assistant-api,409,929357,0,0,170768,26.75,0
2026-05-27,claude-3-opus,assistant-api,322,709141,0,0,123259,19.88,0
2026-05-28,claude-3-opus,assistant-api,323,709232,0,0,130082,20.39,0
2026-05-29,claude-3-opus,assistant-api,196,400012,0,0,83581,12.27,0
2026-05-30,claude-3-opus,assistant-api,167,338265,0,0,66373,10.05,0
2026-05-31,claude-3-opus,assistant-api,256,535689,0,0,102544,15.73,0
2026-06-01,claude-3-opus,assistant-api,267,634041,0,0,105726,17.44,0
2026-06-02,claude-3-opus,assistant-api,348,775071,0,0,142650,22.32,0
2026-06-03,claude-3-opus,assistant-api,332,716843,0,0,142547,21.44,0
2026-06-04,claude-3-opus,assistant-api,336,741130,0,0,139602,21.59,0
2026-06-05,claude-3-opus,assistant-api,221,501997,0,0,83437,13.79,0
2026-06-06,claude-3-opus,assistant-api,304,635231,0,0,119291,18.48,0
2026-06-07,claude-3-opus,assistant-api,1291,3063196,0,0,505975,83.90,0
2026-06-08,claude-3-opus,assistant-api,559,1216213,0,0,211646,34.12,0
2026-06-09,claude-3-opus,assistant-api,535,1270121,0,0,203938,34.35,0
2026-06-10,claude-3-opus,assistant-api,502,1133632,0,0,202394,32.18,0
2026-06-11,claude-3-opus,assistant-api,458,927220,0,0,169345,26.61,0
2026-06-12,claude-3-opus,assistant-api,306,669812,0,0,114529,18.64,0
2026-06-13,claude-3-opus,assistant-api,294,649776,0,0,117901,18.59,0
2026-06-14,claude-3-opus,assistant-api,365,814678,0,0,137107,22.50,0
2026-06-15,claude-3-opus,assistant-api,354,811932,0,0,144995,23.05,0
2026-05-17,claude-3-5-haiku,agent-runner,68146,17696069,0,0,6412028,39.80,5333
2026-05-18,claude-3-5-haiku,agent-runner,82030,20586695,0,0,7821929,47.76,6420
2026-05-19,claude-3-5-haiku,agent-runner,95117,22974609,0,0,8785605,53.52,7444
2026-05-20,claude-3-5-haiku,agent-runner,88091,24183418,0,0,8202835,52.16,6894
2026-05-21,claude-3-5-haiku,agent-runner,94808,24194688,0,0,8713004,54.21,7420
2026-05-22,claude-3-5-haiku,agent-runner,61807,16794826,0,0,5530712,35.56,4837
2026-05-23,claude-3-5-haiku,agent-runner,66110,16236696,0,0,5697182,35.78,5174
2026-05-24,claude-3-5-haiku,agent-runner,89507,23908785,0,0,8285333,52.27,7005
2026-05-25,claude-3-5-haiku,agent-runner,93205,23140347,0,0,8197441,51.30,7294
2026-05-26,claude-3-5-haiku,agent-runner,78302,19769544,0,0,7253522,44.83,6128
2026-05-27,claude-3-5-haiku,agent-runner,61747,15616083,0,0,5450806,34.30,4832
2026-05-28,claude-3-5-haiku,agent-runner,61847,14970122,0,0,5525939,34.08,4840
2026-05-29,claude-3-5-haiku,agent-runner,37566,9053618,0,0,3500413,21.24,2940
2026-05-30,claude-3-5-haiku,agent-runner,31959,8349620,0,0,2888780,18.23,2501
2026-05-31,claude-3-5-haiku,agent-runner,49081,11751182,0,0,4476612,27.31,3841
2026-06-01,claude-3-5-haiku,agent-runner,51199,12277907,0,0,4551986,28.03,4007
2026-06-02,claude-3-5-haiku,agent-runner,66760,17681124,0,0,5953260,37.96,5225
2026-06-03,claude-3-5-haiku,agent-runner,63560,16899262,0,0,5585712,35.86,4974
2026-06-04,claude-3-5-haiku,agent-runner,64472,15519994,0,0,6212250,37.26,5046
2026-06-05,claude-3-5-haiku,agent-runner,42285,11197554,0,0,3602091,23.37,3309
2026-06-06,claude-3-5-haiku,agent-runner,58353,14896224,0,0,5244203,32.89,4567
2026-06-07,claude-3-5-haiku,agent-runner,247520,66024412,0,0,21785842,139.96,19371
2026-06-08,claude-3-5-haiku,agent-runner,107097,25841405,0,0,9765270,59.73,8381
2026-06-09,claude-3-5-haiku,agent-runner,102538,28425076,0,0,8960673,58.58,8025
2026-06-10,claude-3-5-haiku,agent-runner,96233,23284659,0,0,8850781,54.03,7531
2026-06-11,claude-3-5-haiku,agent-runner,87870,21249067,0,0,7506392,47.02,6877
2026-06-12,claude-3-5-haiku,agent-runner,58577,14253812,0,0,5329773,32.72,4584
2026-06-13,claude-3-5-haiku,agent-runner,56307,13645039,0,0,4761652,29.96,4407
2026-06-14,claude-3-5-haiku,agent-runner,70048,18424621,0,0,6013133,38.79,5482
2026-06-15,claude-3-5-haiku,agent-runner,67858,16609360,0,0,5982615,37.22,5311
2026-05-17,claude-3-5-sonnet,default,2370,5114385,0,0,967077,29.85,0
2026-05-18,claude-3-5-sonnet,default,2853,5789002,0,0,1116488,34.11,0
2026-05-19,claude-3-5-sonnet,default,3308,6323784,0,0,1314212,38.68,0
2026-05-20,claude-3-5-sonnet,default,3064,6351002,0,0,1170635,36.61,0
2026-05-21,claude-3-5-sonnet,default,3298,7003749,0,0,1224579,39.38,0
2026-05-22,claude-3-5-sonnet,default,2150,3980558,0,0,785228,23.72,0
2026-05-23,claude-3-5-sonnet,default,2299,4584542,0,0,900616,27.26,0
2026-05-24,claude-3-5-sonnet,default,3113,6113380,0,0,1092819,34.73,0
2026-05-25,claude-3-5-sonnet,default,3242,6430141,0,0,1215570,37.52,0
2026-05-26,claude-3-5-sonnet,default,2724,5658542,0,0,1078785,33.16,0
2026-05-27,claude-3-5-sonnet,default,2148,4509901,0,0,810620,25.69,0
2026-05-28,claude-3-5-sonnet,default,2151,4252572,0,0,811501,24.93,0
2026-05-29,claude-3-5-sonnet,default,1307,2427529,0,0,462427,14.22,0
2026-05-30,claude-3-5-sonnet,default,1112,2350345,0,0,447518,13.76,0
2026-05-31,claude-3-5-sonnet,default,1707,3183643,0,0,635589,19.08,0
2026-06-01,claude-3-5-sonnet,default,1781,3324658,0,0,627299,19.38,0
2026-06-02,claude-3-5-sonnet,default,2322,4504605,0,0,914115,27.23,0
2026-06-03,claude-3-5-sonnet,default,2211,4409446,0,0,877369,26.39,0
2026-06-04,claude-3-5-sonnet,default,2243,4548038,0,0,881792,26.87,0
2026-06-05,claude-3-5-sonnet,default,1471,2934155,0,0,585333,17.58,0
2026-06-06,claude-3-5-sonnet,default,2030,3801816,0,0,785695,23.19,0
2026-06-07,claude-3-5-sonnet,default,8609,17305420,0,0,3178465,99.59,0
2026-06-08,claude-3-5-sonnet,default,3725,7230849,0,0,1508983,44.33,0
2026-06-09,claude-3-5-sonnet,default,3567,6876817,0,0,1405858,41.72,0
2026-06-10,claude-3-5-sonnet,default,3347,6186217,0,0,1331337,38.53,0
2026-06-11,claude-3-5-sonnet,default,3056,6003455,0,0,1150262,35.26,0
2026-06-12,claude-3-5-sonnet,default,2037,3936826,0,0,808570,23.94,0
2026-06-13,claude-3-5-sonnet,default,1959,3999224,0,0,701687,22.52,0
2026-06-14,claude-3-5-sonnet,default,2436,4542531,0,0,873942,26.74,0
2026-06-15,claude-3-5-sonnet,default,2360,4903021,0,0,887622,28.02,0
