usage_date,service,model,project_id,requests,input_tokens,output_tokens,thinking_tokens,cost,errors
2026-06-13,Generative Language API,gemini-2.5-flash,summaries,4837,43077618,7667925,4600755,32.09,0
2026-06-14,Generative Language API,gemini-2.5-flash,summaries,6870,59969643,9972016,5983210,42.92,0
2026-06-15,Generative Language API,gemini-2.5-flash,summaries,7334,62925123,11709821,7025893,48.15,0
2026-05-17,Generative Language API,gemini-1.5-flash,classifier,102929,164176126,18689477,0,17.92,10293
2026-05-18,Generative Language API,gemini-1.5-flash,classifier,127054,203121017,23242550,0,22.21,12705
2026-05-19,Generative Language API,gemini-1.5-flash,classifier,123093,180330887,23305104,0,20.52,12309
2026-05-20,Generative Language API,gemini-1.5-flash,classifier,136558,200026396,23210458,0,21.97,13656
2026-05-21,Generative Language API,gemini-1.5-flash,classifier,132990,205555315,25624829,0,23.10,13299
2026-05-22,Generative Language API,gemini-1.5-flash,classifier,92922,141038135,15474159,0,15.22,9292
2026-05-23,Generative Language API,gemini-1.5-flash,classifier,87681,124197809,16646587,0,14.31,8768
2026-05-24,Generative Language API,gemini-1.5-flash,classifier,143118,230192196,25859504,0,25.02,14312
2026-05-25,Generative Language API,gemini-1.5-flash,classifier,143123,225229255,24816964,0,24.34,14312
2026-05-26,Generative Language API,gemini-1.5-flash,classifier,112936,178610356,21770357,0,19.93,11294
2026-05-27,Generative Language API,gemini-1.5-flash,classifier,92571,129313643,16989182,0,14.80,9257
2026-05-28,Generative Language API,gemini-1.5-flash,classifier,109540,152181238,19179329,0,17.17,10954
2026-05-29,Generative Language API,gemini-1.5-flash,classifier,56624,89300731,10099574,0,9.73,5662
2026-05-30,Generative Language API,gemini-1.5-flash,classifier,49518,72492379,9292898,0,8.22,4952
2026-05-31,Generative Language API,gemini-1.5-flash,classifier,73019,112369815,12461470,0,12.17,7302
2026-06-01,Generative Language API,gemini-1.5-flash,classifier,91443,135495202,16056656,0,14.98,9144
2026-06-02,Generative Language API,gemini-1.5-flash,classifier,91016,135300763,15092204,0,14.68,9102
2026-06-03,Generative Language API,gemini-1.5-flash,classifier,98213,154230115,17573073,0,16.84,9821
2026-06-04,Generative Language API,gemini-1.5-flash,classifier,106328,167088528,18562667,0,18.10,10633
2026-06-05,Generative Language API,gemini-1.5-flash,classifier,77301,113869053,14969615,0,13.03,7730
2026-06-06,Generative Language API,gemini-1.5-flash,classifier,74523,115164913,12346368,0,12.34,7452
2026-06-07,Generative Language API,gemini-1.5-flash,classifier,359625,518838328,61918833,0,57.49,35962
2026-06-08,Generative Language API,gemini-1.5-flash,classifier,129759,193574246,23994359,0,21.72,12976
2026-06-09,Generative Language API,gemini-1.5-flash,classifier,133484,193847452,22860053,0,21.40,13348
2026-06-10,Generative Language API,gemini-1.5-flash,classifier,157921,240648311,27375384,0,26.26,15792
2026-06-11,Generative Language API,gemini-1.5-flash,classifier,129301,197534246,22639328,0,21.61,12930
2026-06-12,Generative Language API,gemini-1.5-flash,classifier,73134,115248657,13051745,0,12.56,7313
2026-06-13,Generative Language API,gemini-1.5-flash,classifier,74759,111708293,12671123,0,12.18,7476
2026-06-14,Generative Language API,gemini-1.5-flash,classifier,106177,147814768,18470722,0,16.63,10618
2026-06-15,Generative Language API,gemini-1.5-flash,classifier,113341,169206517,20698289,0,18.90,11334
2026-05-17,Generative Language API,gemini-2.5-pro,rag-pipeline,2876,17498464,1912006,1147204,40.99,0
2026-05-18,Generative Language API,gemini-2.5-pro,rag-pipeline,3550,22614815,2455661,1473397,52.83,0
2026-05-19,Generative Language API,gemini-2.5-pro,rag-pipeline,3439,21418821,2399362,1439617,50.77,0
2026-05-20,Generative Language API,gemini-2.5-pro,rag-pipeline,3816,22303379,2549543,1529726,53.37,0
2026-05-21,Generative Language API,gemini-2.5-pro,rag-pipeline,3716,22546594,2304855,1382913,51.23,0
2026-05-22,Generative Language API,gemini-2.5-pro,rag-pipeline,2596,16158999,1591628,954977,36.12,0
2026-05-23,Generative Language API,gemini-2.5-pro,rag-pipeline,2450,13943515,1664912,998947,34.08,0
2026-05-24,Generative Language API,gemini-2.5-pro,rag-pipeline,3999,22429887,2432210,1459326,52.36,0
2026-05-25,Generative Language API,gemini-2.5-pro,rag-pipeline,3999,24389400,2710363,1626218,57.59,0
2026-05-26,Generative Language API,gemini-2.5-pro,rag-pipeline,3156,19786735,2086767,1252060,45.60,0
2026-05-27,Generative Language API,gemini-2.5-pro,rag-pipeline,2587,15441548,1714322,1028593,36.45,0
2026-05-28,Generative Language API,gemini-2.5-pro,rag-pipeline,3061,19616989,2103418,1262051,45.56,0
2026-05-29,Generative Language API,gemini-2.5-pro,rag-pipeline,1582,10207812,1092440,655464,23.68,0
2026-05-30,Generative Language API,gemini-2.5-pro,rag-pipeline,1384,8434051,839108,503465,18.93,0
2026-05-31,Generative Language API,gemini-2.5-pro,rag-pipeline,2040,12304100,1403406,842044,29.41,0
2026-06-01,Generative Language API,gemini-2.5-pro,rag-pipeline,2555,16111188,1764518,1058711,37.78,0
2026-06-02,Generative Language API,gemini-2.5-pro,rag-pipeline,2543,15616585,1671032,1002619,36.23,0
2026-06-03,Generative Language API,gemini-2.5-pro,rag-pipeline,2744,16905019,1760164,1056098,38.73,0
2026-06-04,Generative Language API,gemini-2.5-pro,rag-pipeline,2971,18140091,1963269,1177961,42.31,0
2026-06-05,Generative Language API,gemini-2.5-pro,rag-pipeline,2160,13295611,1413639,848183,30.76,0
2026-06-06,Generative Language API,gemini-2.5-pro,rag-pipeline,2082,11860319,1257041,754225,27.40,0
2026-06-07,Generative Language API,gemini-2.5-pro,rag-pipeline,10048,61526279,6281586,3768952,139.72,0
2026-06-08,Generative Language API,gemini-2.5-pro,rag-pipeline,3626,22532219,2445672,1467403,52.62,0
2026-06-09,Generative Language API,gemini-2.5-pro,rag-pipeline,3730,22562458,2437427,1462456,52.58,0
2026-06-10,Generative Language API,gemini-2.5-pro,rag-pipeline,4412,27803136,3021894,1813136,64.97,0
2026-06-11,Generative Language API,gemini-2.5-pro,rag-pipeline,3613,21596076,2397104,1438262,50.97,0
2026-06-12,Generative Language API,gemini-2.5-pro,rag-pipeline,2043,12835017,1261544,756926,28.66,0
2026-06-13,Generative Language API,gemini-2.5-pro,rag-pipeline,2089,12349429,1355540,813324,28.99,0
2026-06-14,Generative Language API,gemini-2.5-pro,rag-pipeline,2967,17454830,1974637,1184782,41.56,0
2026-06-15,Generative Language API,gemini-2.5-pro,rag-pipeline,3167,17847578,2218690,1331214,44.50,0
2026-05-17,Generative Language API,gemini-1.5-pro,vision-api,1816,5260614,938537,0,11.27,0
2026-05-18,Generative Language API,gemini-1.5-pro,vision-api,2242,6429612,1167171,0,13.87,0
2026-05-19,Generative Language API,gemini-1.5-pro,vision-api,2172,5862248,1003398,0,12.34,0
2026-05-20,Generative Language API,gemini-1.5-pro,vision-api,2410,6891699,1220505,0,14.72,0
2026-05-21,Generative Language API,gemini-1.5-pro,vision-api,2347,6579260,1191869,0,14.18,0
2026-05-22,Generative Language API,gemini-1.5-pro,vision-api,1640,4707842,848239,0,10.13,0
2026-05-23,Generative Language API,gemini-1.5-pro,vision-api,1547,4028838,756736,0,8.82,0
2026-05-24,Generative Language API,gemini-1.5-pro,vision-api,2526,7485539,1279156,0,15.75,0
2026-05-25,Generative Language API,gemini-1.5-pro,vision-api,2526,7354430,1202253,0,15.20,0
2026-05-26,Generative Language API,gemini-1.5-pro,vision-api,1993,5686727,1038670,0,12.30,0
2026-05-27,Generative Language API,gemini-1.5-pro,vision-api,1634,4698080,809391,0,9.92,0
2026-05-28,Generative Language API,gemini-1.5-pro,vision-api,1933,5435820,1010100,0,11.85,0
2026-05-29,Generative Language API,gemini-1.5-pro,vision-api,999,2610405,466516,0,5.60,0
2026-05-30,Generative Language API,gemini-1.5-pro,vision-api,874,2257577,406473,0,4.85,0
2026-05-31,Generative Language API,gemini-1.5-pro,vision-api,1289,3879705,613304,0,7.92,0
2026-06-01,Generative Language API,gemini-1.5-pro,vision-api,1614,4570842,857328,0,10.00,0
2026-06-02,Generative Language API,gemini-1.5-pro,vision-api,1606,4809152,840703,0,10.21,0
2026-06-03,Generative Language API,gemini-1.5-pro,vision-api,1733,4951308,810392,0,10.24,0
2026-06-04,Generative Language API,gemini-1.5-pro,vision-api,1876,5147149,879693,0,10.83,0
2026-06-05,Generative Language API,gemini-1.5-pro,vision-api,1364,3556147,722924,0,8.06,0
2026-06-06,Generative Language API,gemini-1.5-pro,vision-api,1315,3414796,617424,0,7.36,0
2026-06-07,Generative Language API,gemini-1.5-pro,vision-api,6346,17832357,3111284,0,37.85,0
2026-06-08,Generative Language API,gemini-1.5-pro,vision-api,2290,6919717,1056286,0,13.93,0
2026-06-09,Generative Language API,gemini-1.5-pro,vision-api,2356,6840662,1263001,0,14.87,0
2026-06-10,Generative Language API,gemini-1.5-pro,vision-api,2787,7500647,1428539,0,16.52,0
2026-06-11,Generative Language API,gemini-1.5-pro,vision-api,2282,6054050,1184843,0,13.49,0
2026-06-12,Generative Language API,gemini-1.5-pro,vision-api,1291,3611727,623050,0,7.63,0
2026-06-13,Generative Language API,gemini-1.5-pro,vision-api,1319,3424090,620205,0,7.38,0
2026-06-14,Generative Language API,gemini-1.5-pro,vision-api,1874,5563508,870078,0,11.30,0
2026-06-15,Generative Language API,gemini-1.5-pro,vision-api,2000,6018350,970516,0,12.38,0
2026-05-17,Generative Language API,gemini-1.5-flash,autocomplete,157421,145882006,17678374,0,16.24,0
2026-05-18,Generative Language API,gemini-1.5-flash,autocomplete,194317,163931712,21735078,0,18.82,0
2026-05-19,Generative Language API,gemini-1.5-flash,autocomplete,188259,167491296,21284988,0,18.95,0
2026-05-20,Generative Language API,gemini-1.5-flash,autocomplete,208854,194742980,23670247,0,21.71,0
2026-05-21,Generative Language API,gemini-1.5-flash,autocomplete,203396,168876117,20744358,0,18.89,0
2026-05-22,Generative Language API,gemini-1.5-flash,autocomplete,142115,118065217,14823203,0,13.30,0
2026-05-23,Generative Language API,gemini-1.5-flash,autocomplete,134101,122894037,14570877,0,13.59,0
2026-05-24,Generative Language API,gemini-1.5-flash,autocomplete,218886,204074993,22390336,0,22.02,0
2026-05-25,Generative Language API,gemini-1.5-flash,autocomplete,218894,186465616,23590273,0,21.06,0
2026-05-26,Generative Language API,gemini-1.5-flash,autocomplete,172726,158329913,18254805,0,17.35,0
2026-05-27,Generative Language API,gemini-1.5-flash,autocomplete,141579,123150052,16631600,0,14.23,0
2026-05-28,Generative Language API,gemini-1.5-flash,autocomplete,167532,162083610,17211940,0,17.32,0
2026-05-29,Generative Language API,gemini-1.5-flash,autocomplete,86601,75006691,10139045,0,8.67,0
2026-05-30,Generative Language API,gemini-1.5-flash,autocomplete,75734,64612974,8385222,0,7.36,0
2026-05-31,Generative Language API,gemini-1.5-flash,autocomplete,111677,102896425,11410189,0,11.14,0
2026-06-01,Generative Language API,gemini-1.5-flash,autocomplete,139853,117804987,16146451,0,13.68,0
2026-06-02,Generative Language API,gemini-1.5-flash,autocomplete,139201,115629822,14239579,0,12.94,0
2026-06-03,Generative Language API,gemini-1.5-flash,autocomplete,150208,136489751,15817698,0,14.98,0
2026-06-04,Generative Language API,gemini-1.5-flash,autocomplete,162620,137690813,17502239,0,15.58,0
2026-06-05,Generative Language API,gemini-1.5-flash,autocomplete,118225,111636612,12173766,0,12.02,0
2026-06-06,Generative Language API,gemini-1.5-flash,autocomplete,113977,94608922,11745138,0,10.62,0
2026-06-07,Generative Language API,gemini-1.5-flash,autocomplete,550014,531827290,59302381,0,57.68,0
2026-06-08,Generative Language API,gemini-1.5-flash,autocomplete,198456,188683123,22696108,0,20.96,0
2026-06-09,Generative Language API,gemini-1.5-flash,autocomplete,204152,177215444,22254680,0,19.97,0
2026-06-10,Generative Language API,gemini-1.5-flash,autocomplete,241526,211986754,24939379,0,23.38,0
2026-06-11,Generative Language API,gemini-1.5-flash,autocomplete,197754,171598693,22365872,0,19.58,0
2026-06-12,Generative Language API,gemini-1.5-flash,autocomplete,111852,96581692,13018303,0,11.15,0
2026-06-13,Generative Language API,gemini-1.5-flash,autocomplete,114338,110069988,11634159,0,11.75,0
2026-06-14,Generative Language API,gemini-1.5-flash,autocomplete,162388,141059343,16872159,0,15.64,0
2026-06-15,Generative Language API,gemini-1.5-flash,autocomplete,173344,158522283,20154402,0,17.94,0
