date,model,project,api_key_name,n_requests,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_cost,errors
2026-06-02,gpt-4o,doc-extraction,doc-extraction,2409,20493421,9222039,3658441,0,76.29,0
2026-06-03,gpt-4o,doc-extraction,doc-extraction,2600,24195192,10887836,4087273,0,87.75,0
2026-06-04,gpt-4o,doc-extraction,doc-extraction,2815,26007339,11703303,3964820,0,90.04,0
2026-06-05,gpt-4o,doc-extraction,doc-extraction,2046,18886104,8498747,3288440,0,69.48,0
2026-06-06,gpt-4o,doc-extraction,doc-extraction,1973,16727759,7527492,3116225,0,63.57,0
2026-06-07,gpt-4o,doc-extraction,doc-extraction,9519,88730677,39928805,13433308,0,306.25,0
2026-06-08,gpt-4o,doc-extraction,doc-extraction,3435,31952807,14378763,4863012,0,110.54,0
2026-06-09,gpt-4o,doc-extraction,doc-extraction,3533,31567836,14205526,5235550,0,113.52,0
2026-06-10,gpt-4o,doc-extraction,doc-extraction,4180,35432566,15944655,6123433,0,129.88,0
2026-06-11,gpt-4o,doc-extraction,doc-extraction,3423,29304237,13186907,5012859,0,106.91,0
2026-06-12,gpt-4o,doc-extraction,doc-extraction,1936,18411639,8285238,3038810,0,66.06,0
2026-06-13,gpt-4o,doc-extraction,doc-extraction,1979,18025247,8111361,3137239,0,66.30,0
2026-06-14,gpt-4o,doc-extraction,doc-extraction,2811,25095474,11292963,4080253,0,89.43,0
2026-06-15,gpt-4o,doc-extraction,doc-extraction,3000,26324750,11846138,4789946,0,98.90,0
2026-05-17,gpt-4o-mini,batch-tagging,batch-tagging,43896,79351449,0,13284130,0,19.87,3633
2026-05-18,gpt-4o-mini,batch-tagging,batch-tagging,54185,98175531,0,16520503,0,24.64,4484
2026-05-19,gpt-4o-mini,batch-tagging,batch-tagging,52495,87159025,0,16564730,0,23.01,4344
2026-05-20,gpt-4o-mini,batch-tagging,batch-tagging,58238,96679474,0,16497638,0,24.40,4820
2026-05-21,gpt-4o-mini,batch-tagging,batch-tagging,56716,99351169,0,18213623,0,25.83,4694
2026-05-22,gpt-4o-mini,batch-tagging,batch-tagging,39628,68167572,0,10998651,0,16.82,3280
2026-05-23,gpt-4o-mini,batch-tagging,batch-tagging,37393,60028351,0,11832017,0,16.10,3095
2026-05-24,gpt-4o-mini,batch-tagging,batch-tagging,61035,111258435,0,18380344,0,27.72,5051
2026-05-25,gpt-4o-mini,batch-tagging,batch-tagging,61038,108861252,0,17639581,0,26.91,5051
2026-05-26,gpt-4o-mini,batch-tagging,batch-tagging,48164,86328550,0,15474066,0,22.23,3986
2026-05-27,gpt-4o-mini,batch-tagging,batch-tagging,39479,62501897,0,12075703,0,16.62,3267
2026-05-28,gpt-4o-mini,batch-tagging,batch-tagging,46716,73554913,0,13632487,0,19.21,3866
2026-05-29,gpt-4o-mini,batch-tagging,batch-tagging,24148,43161179,0,7178479,0,10.78,1998
2026-05-30,gpt-4o-mini,batch-tagging,batch-tagging,21118,35038032,0,6605255,0,9.22,1748
2026-05-31,gpt-4o-mini,batch-tagging,batch-tagging,31141,54313026,0,8857572,0,13.46,2577
2026-06-01,gpt-4o-mini,batch-tagging,batch-tagging,38998,65489768,0,11412892,0,16.67,3227
2026-06-02,gpt-4o-mini,batch-tagging,batch-tagging,38816,65395963,0,10727399,0,16.25,3212
2026-06-03,gpt-4o-mini,batch-tagging,batch-tagging,41885,74544634,0,12490678,0,18.68,3466
2026-06-04,gpt-4o-mini,batch-tagging,batch-tagging,45346,80759874,0,13194121,0,20.03,3753
2026-06-05,gpt-4o-mini,batch-tagging,batch-tagging,32966,55035702,0,10639973,0,14.64,2728
2026-06-06,gpt-4o-mini,batch-tagging,batch-tagging,31782,55663273,0,8775641,0,13.61,2630
2026-06-07,gpt-4o-mini,batch-tagging,batch-tagging,153369,250771065,0,44010796,0,64.02,12693
2026-06-08,gpt-4o-mini,batch-tagging,batch-tagging,55339,93561905,0,17055000,0,24.27,4580
2026-06-09,gpt-4o-mini,batch-tagging,batch-tagging,56927,93692935,0,16248567,0,23.80,4711
2026-06-10,gpt-4o-mini,batch-tagging,batch-tagging,67348,116312208,0,19457802,0,29.12,5574
2026-06-11,gpt-4o-mini,batch-tagging,batch-tagging,55143,95474758,0,16091658,0,23.98,4564
2026-06-12,gpt-4o-mini,batch-tagging,batch-tagging,31189,55702625,0,9276827,0,13.92,2581
2026-06-13,gpt-4o-mini,batch-tagging,batch-tagging,31883,53993164,0,9006572,0,13.50,2639
2026-06-14,gpt-4o-mini,batch-tagging,batch-tagging,45281,71443225,0,13128593,0,18.59,3747
2026-06-15,gpt-4o-mini,batch-tagging,batch-tagging,48336,81782130,0,14711835,0,21.09,4000
2026-05-17,gpt-4o-mini,support-assistant,support-assistant,39355,103760738,46692332,19320935,0,23.65,0
2026-05-18,gpt-4o-mini,support-assistant,support-assistant,48579,134102029,60345913,24815123,0,30.48,0
2026-05-19,gpt-4o-mini,support-assistant,support-assistant,47065,127023347,57160506,24248764,0,29.32,0
2026-05-20,gpt-4o-mini,support-assistant,support-assistant,52214,132242594,59509167,25761363,0,30.83,0
2026-05-21,gpt-4o-mini,support-assistant,support-assistant,50849,133693335,60162001,23290471,0,29.52,0
2026-05-22,gpt-4o-mini,support-assistant,support-assistant,35529,95832946,43124826,16085984,0,20.79,0
2026-05-23,gpt-4o-mini,support-assistant,support-assistant,33525,82679355,37205710,16823711,0,19.71,0
2026-05-24,gpt-4o-mini,support-assistant,support-assistant,54721,133000048,59850022,24577151,0,30.21,0
2026-05-25,gpt-4o-mini,support-assistant,support-assistant,54724,144627091,65082191,27389350,0,33.25,0
2026-05-26,gpt-4o-mini,support-assistant,support-assistant,43182,117317285,52792778,21084705,0,26.29,0
2026-05-27,gpt-4o-mini,support-assistant,support-assistant,35395,91550018,41197508,17320715,0,21.04,0
2026-05-28,gpt-4o-mini,support-assistant,support-assistant,41883,116313170,52340927,21253374,0,26.27,0
2026-05-29,gpt-4o-mini,support-assistant,support-assistant,21650,60534952,27240728,11040197,0,13.66,0
2026-05-30,gpt-4o-mini,support-assistant,support-assistant,18934,49999380,22499721,8477190,0,10.90,0
2026-05-31,gpt-4o-mini,support-assistant,support-assistant,27919,72969548,32836297,14183415,0,16.99,0
2026-06-01,gpt-4o-mini,support-assistant,support-assistant,34963,95536087,42991239,17830841,0,21.80,0
2026-06-02,gpt-4o-mini,support-assistant,support-assistant,34800,92606413,41672886,16886732,0,20.90,0
2026-06-03,gpt-4o-mini,support-assistant,support-assistant,37552,100250541,45112743,17788118,0,22.33,0
2026-06-04,gpt-4o-mini,support-assistant,support-assistant,40655,107565468,48404461,19838961,0,24.41,0
2026-06-05,gpt-4o-mini,support-assistant,support-assistant,29556,78835586,35476014,14284278,0,17.74,0
2026-06-06,gpt-4o-mini,support-assistant,support-assistant,28494,70338188,31652185,12704283,0,15.80,0
2026-06-07,gpt-4o-mini,support-assistant,support-assistant,137504,364853446,164184051,63479413,0,80.50,0
2026-06-08,gpt-4o-mini,support-assistant,support-assistant,49614,133598786,60119454,24711692,0,30.36,0
2026-06-09,gpt-4o-mini,support-assistant,support-assistant,51038,133780657,60201296,24628858,0,30.33,0
2026-06-10,gpt-4o-mini,support-assistant,support-assistant,60381,164884824,74198171,30540207,0,37.49,0
2026-06-11,gpt-4o-mini,support-assistant,support-assistant,49438,128053036,57623866,24221868,0,29.42,0
2026-06-12,gpt-4o-mini,support-assistant,support-assistant,27963,76126163,34256773,12751041,0,16.50,0
2026-06-13,gpt-4o-mini,support-assistant,support-assistant,28584,73224015,32950807,13696982,0,16.73,0
2026-06-14,gpt-4o-mini,support-assistant,support-assistant,40597,103493751,46572188,19952235,0,24.00,0
2026-06-15,gpt-4o-mini,support-assistant,support-assistant,43336,105828378,47622770,22419467,0,25.75,0
2026-05-17,gpt-4-turbo,prod-chat-api,prod-chat-api,484,1101617,0,160089,0,15.82,0
2026-05-18,gpt-4-turbo,prod-chat-api,prod-chat-api,598,1347457,0,199242,0,19.45,0
2026-05-19,gpt-4-turbo,prod-chat-api,prod-chat-api,579,1227857,0,171187,0,17.41,0
2026-05-20,gpt-4-turbo,prod-chat-api,prod-chat-api,643,1444724,0,208408,0,20.70,0
2026-05-21,gpt-4-turbo,prod-chat-api,prod-chat-api,626,1378805,0,203456,0,19.89,0
2026-05-22,gpt-4-turbo,prod-chat-api,prod-chat-api,437,985653,0,144656,0,14.20,0
2026-05-23,gpt-4-turbo,prod-chat-api,prod-chat-api,413,845092,0,129296,0,12.33,0
2026-05-24,gpt-4-turbo,prod-chat-api,prod-chat-api,673,1567002,0,218115,0,22.21,0
2026-05-25,gpt-4-turbo,prod-chat-api,prod-chat-api,674,1541843,0,205306,0,21.58,0
2026-05-26,gpt-4-turbo,prod-chat-api,prod-chat-api,531,1190458,0,177111,0,17.22,0
2026-05-27,gpt-4-turbo,prod-chat-api,prod-chat-api,436,984962,0,138221,0,14.00,0
2026-05-28,gpt-4-turbo,prod-chat-api,prod-chat-api,515,1137903,0,172234,0,16.55,0
2026-05-29,gpt-4-turbo,prod-chat-api,prod-chat-api,266,546121,0,79499,0,7.85,0
2026-05-30,gpt-4-turbo,prod-chat-api,prod-chat-api,233,472881,0,69352,0,6.81,0
2026-05-31,gpt-4-turbo,prod-chat-api,prod-chat-api,344,813521,0,104752,0,11.28,0
2026-06-01,gpt-4-turbo,prod-chat-api,prod-chat-api,430,956810,0,146181,0,13.95,0
2026-06-02,gpt-4-turbo,prod-chat-api,prod-chat-api,428,1007005,0,143391,0,14.37,0
2026-06-03,gpt-4-turbo,prod-chat-api,prod-chat-api,462,1037118,0,138267,0,14.52,0
2026-06-04,gpt-4-turbo,prod-chat-api,prod-chat-api,500,1077875,0,150054,0,15.28,0
2026-06-05,gpt-4-turbo,prod-chat-api,prod-chat-api,364,745644,0,123469,0,11.16,0
2026-06-06,gpt-4-turbo,prod-chat-api,prod-chat-api,351,716161,0,105474,0,10.33,0
2026-06-07,gpt-4-turbo,prod-chat-api,prod-chat-api,1692,3735715,0,530909,0,53.28,0
2026-06-08,gpt-4-turbo,prod-chat-api,prod-chat-api,611,1450637,0,180371,0,19.92,0
2026-06-09,gpt-4-turbo,prod-chat-api,prod-chat-api,628,1432673,0,215461,0,20.79,0
2026-06-10,gpt-4-turbo,prod-chat-api,prod-chat-api,743,1571141,0,243738,0,23.02,0
2026-06-11,gpt-4-turbo,prod-chat-api,prod-chat-api,608,1267356,0,202036,0,18.73,0
2026-06-12,gpt-4-turbo,prod-chat-api,prod-chat-api,344,756157,0,106251,0,10.75,0
2026-06-13,gpt-4-turbo,prod-chat-api,prod-chat-api,352,717972,0,105929,0,10.36,0
2026-06-14,gpt-4-turbo,prod-chat-api,prod-chat-api,500,1166309,0,148573,0,16.12,0
2026-06-15,gpt-4-turbo,prod-chat-api,prod-chat-api,533,1260200,0,165531,0,17.57,0
2026-05-17,o3,reasoning-pipeline,reasoning-pipeline,1665,4114547,0,2889683,1733810,31.35,0
2026-05-18,o3,reasoning-pipeline,reasoning-pipeline,2055,4623094,0,3552372,2131423,37.67,0
2026-05-19,o3,reasoning-pipeline,reasoning-pipeline,1991,4723637,0,3478926,2087356,37.28,0
2026-05-20,o3,reasoning-pipeline,reasoning-pipeline,2209,5492669,0,3869118,2321471,41.94,0
2026-05-21,o3,reasoning-pipeline,reasoning-pipeline,2151,4762500,0,3390426,2034256,36.65,0
2026-05-22,o3,reasoning-pipeline,reasoning-pipeline,1503,3329736,0,2422799,1453679,26.04,0
2026-05-23,o3,reasoning-pipeline,reasoning-pipeline,1418,3465323,0,2381147,1428688,25.98,0
2026-05-24,o3,reasoning-pipeline,reasoning-pipeline,2315,5755612,0,3659737,2195842,40.79,0
2026-05-25,o3,reasoning-pipeline,reasoning-pipeline,2315,5258776,0,3855728,2313437,41.36,0
2026-05-26,o3,reasoning-pipeline,reasoning-pipeline,1827,4465936,0,2984106,1790464,32.80,0
2026-05-27,o3,reasoning-pipeline,reasoning-pipeline,1497,3472372,0,2717773,1630664,28.69,0
2026-05-28,o3,reasoning-pipeline,reasoning-pipeline,1772,4571658,0,2813533,1688120,31.65,0
2026-05-29,o3,reasoning-pipeline,reasoning-pipeline,916,2115638,0,1657394,994436,17.49,0
2026-05-30,o3,reasoning-pipeline,reasoning-pipeline,801,1822343,0,1370605,822363,14.61,0
2026-05-31,o3,reasoning-pipeline,reasoning-pipeline,1181,2901718,0,1864813,1118888,20.72,0
2026-06-01,o3,reasoning-pipeline,reasoning-pipeline,1479,3322223,0,2638941,1583365,27.76,0
2026-06-02,o3,reasoning-pipeline,reasoning-pipeline,1472,3260649,0,2327120,1396272,25.14,0
2026-06-03,o3,reasoning-pipeline,reasoning-pipeline,1589,3850345,0,2586011,1551607,28.39,0
2026-06-04,o3,reasoning-pipeline,reasoning-pipeline,1720,3883544,0,2860911,1716547,30.65,0
2026-06-05,o3,reasoning-pipeline,reasoning-pipeline,1250,3147575,0,1989216,1193530,22.21,0
2026-06-06,o3,reasoning-pipeline,reasoning-pipeline,1206,2669506,0,1920633,1152380,20.70,0
2026-06-07,o3,reasoning-pipeline,reasoning-pipeline,5817,14999082,0,9692899,5815739,107.54,0
2026-06-08,o3,reasoning-pipeline,reasoning-pipeline,2099,5321695,0,3709846,2225908,40.32,0
2026-06-09,o3,reasoning-pipeline,reasoning-pipeline,2159,4997690,0,3637279,2182367,39.09,0
2026-06-10,o3,reasoning-pipeline,reasoning-pipeline,2555,5980045,0,4077264,2446358,44.58,0
2026-06-11,o3,reasoning-pipeline,reasoning-pipeline,2092,4840822,0,3656609,2193965,38.93,0
2026-06-12,o3,reasoning-pipeline,reasoning-pipeline,1183,2723984,0,2127902,1276741,22.47,0
2026-06-13,o3,reasoning-pipeline,reasoning-pipeline,1209,3103654,0,1901196,1140718,21.42,0
2026-06-14,o3,reasoning-pipeline,reasoning-pipeline,1718,3979604,0,2758647,1655188,30.03,0
2026-06-15,o3,reasoning-pipeline,reasoning-pipeline,1833,4470053,0,3293668,1976201,35.29,0
