date,model,workspace,requests,uncached_input_tokens,cache_read_input_tokens,cache_creation_input_tokens,output_tokens,cost,errors
2026-06-08,claude-opus-4,assistant-api,3691,4543674,5950049,324548,2609194,278.86,0
2026-06-09,claude-opus-4,assistant-api,3292,4387582,5745644,313399,2194701,244.91,0
2026-06-10,claude-opus-4,assistant-api,3725,4840840,6339194,345774,2548682,279.76,0
2026-06-11,claude-opus-4,assistant-api,3937,4769723,6246066,340695,2801500,297.42,0
2026-06-12,claude-opus-4,assistant-api,2014,2393806,3134746,170986,1313947,142.36,0
2026-06-13,claude-opus-4,assistant-api,2141,2900285,3797991,207163,1553297,169.58,0
2026-06-14,claude-opus-4,assistant-api,2781,3601006,4715603,257215,2009433,216.62,0
2026-06-15,claude-opus-4,assistant-api,2517,3253369,4260363,232383,1886933,201.07,0
2026-05-17,claude-3-5-sonnet,summarizer,1420,5720619,7491287,408616,1943301,50.09,0
2026-05-18,claude-3-5-sonnet,summarizer,1318,5114164,6697119,365297,1719837,44.52,0
2026-05-19,claude-3-5-sonnet,summarizer,1385,5369366,7031313,383526,2025272,50.03,0
2026-05-20,claude-3-5-sonnet,summarizer,1700,6457761,8456593,461269,2392856,59.53,0
2026-05-21,claude-3-5-sonnet,summarizer,1667,7055188,9238936,503942,2253387,59.63,0
2026-05-22,claude-3-5-sonnet,summarizer,1083,4061245,5318297,290089,1567211,38.38,0
2026-05-23,claude-3-5-sonnet,summarizer,949,3495787,4577817,249699,1244986,31.47,0
2026-05-24,claude-3-5-sonnet,summarizer,1600,6332664,8292775,452333,2190896,56.05,0
2026-05-25,claude-3-5-sonnet,summarizer,1493,6336099,8297272,452578,1959846,52.59,0
2026-05-26,claude-3-5-sonnet,summarizer,1356,5792602,7585550,413757,1989942,51.05,0
2026-05-27,claude-3-5-sonnet,summarizer,1273,5230415,6849353,373601,1685755,44.43,0
2026-05-28,claude-3-5-sonnet,summarizer,1187,4837320,6334587,345523,1680223,42.91,0
2026-05-29,claude-3-5-sonnet,summarizer,623,2555904,3347017,182565,834150,21.87,0
2026-05-30,claude-3-5-sonnet,summarizer,550,2247603,2943289,160543,714062,18.94,0
2026-05-31,claude-3-5-sonnet,summarizer,1049,4183077,5477839,298791,1505389,37.89,0
2026-06-01,claude-3-5-sonnet,summarizer,1049,3995005,5231554,285358,1510197,37.28,0
2026-06-02,claude-3-5-sonnet,summarizer,978,3603144,4718402,257367,1475139,35.32,0
2026-06-03,claude-3-5-sonnet,summarizer,994,4009921,5251087,286423,1303491,34.23,0
2026-06-04,claude-3-5-sonnet,summarizer,1290,5490396,7189804,392171,1737643,46.16,0
2026-06-05,claude-3-5-sonnet,summarizer,929,3567470,4671686,254819,1391632,33.93,0
2026-06-06,claude-3-5-sonnet,summarizer,1041,4160431,5448184,297174,1550488,38.49,0
2026-06-07,claude-3-5-sonnet,summarizer,4355,16574123,21704209,1183866,6561287,159.09,0
2026-06-08,claude-3-5-sonnet,summarizer,1641,6922797,9065569,494486,2467275,62.35,0
2026-06-09,claude-3-5-sonnet,summarizer,1463,5529476,7240982,394963,2183154,52.99,0
2026-06-10,claude-3-5-sonnet,summarizer,1655,7057247,9241633,504089,2158873,58.22,0
2026-06-11,claude-3-5-sonnet,summarizer,1750,7026333,9201151,501881,2468886,62.75,0
2026-06-12,claude-3-5-sonnet,summarizer,895,3361596,4402091,240114,1335429,32.34,0
2026-06-13,claude-3-5-sonnet,summarizer,952,3558206,4659556,254158,1278258,32.20,0
2026-06-14,claude-3-5-sonnet,summarizer,1236,4770423,6246984,340745,1681306,42.68,0
2026-06-15,claude-3-5-sonnet,summarizer,1119,4400473,5762525,314320,1664753,41.08,0
2026-05-17,claude-3-5-haiku,classify-bot,56811,60568884,79316395,4326349,18781702,134.25,3906
2026-05-18,claude-3-5-haiku,classify-bot,52701,55308962,72428402,3950640,17921788,125.68,3623
2026-05-19,claude-3-5-haiku,classify-bot,55417,56198437,73593192,4014174,17470636,124.74,3810
2026-05-20,claude-3-5-haiku,classify-bot,67989,77348125,101289211,5524866,23474619,169.40,4674
2026-05-21,claude-3-5-haiku,classify-bot,66684,74910034,98096473,5350717,19907111,152.75,4585
2026-05-22,claude-3-5-haiku,classify-bot,43303,44777761,58637543,3198411,12961560,95.56,2977
2026-05-23,claude-3-5-haiku,classify-bot,37967,39144294,51260386,2796021,11725612,85.11,2610
2026-05-24,claude-3-5-haiku,classify-bot,63983,64926644,85022985,4637617,21038642,147.54,4399
2026-05-25,claude-3-5-haiku,classify-bot,59727,66250835,86757047,4732203,19656030,143.30,4106
2026-05-26,claude-3-5-haiku,classify-bot,54241,56899187,74510841,4064228,17672436,126.23,3729
2026-05-27,claude-3-5-haiku,classify-bot,50939,56068444,73422963,4004889,15593953,117.11,3502
2026-05-28,claude-3-5-haiku,classify-bot,47474,51385715,67290816,3670408,15150323,110.76,3264
2026-05-29,claude-3-5-haiku,classify-bot,24932,28746120,37643729,2053294,8539641,62.22,1714
2026-05-30,claude-3-5-haiku,classify-bot,22012,25324362,33162855,1808883,7126503,53.23,1513
2026-05-31,claude-3-5-haiku,classify-bot,41977,48937146,64084358,3495510,14271168,104.86,2886
2026-06-01,claude-3-5-haiku,classify-bot,41944,49150826,64364176,3510773,14062257,104.23,2884
2026-06-02,claude-3-5-haiku,classify-bot,39118,40248681,52706607,2874906,12904494,90.91,2689
2026-06-03,claude-3-5-haiku,classify-bot,39774,43776499,57326367,3126893,12810436,93.98,2734
2026-06-04,claude-3-5-haiku,classify-bot,51597,54097287,70841685,3864092,16559137,119.05,3547
2026-06-05,claude-3-5-haiku,classify-bot,37168,40035550,52427505,2859682,11238048,84.03,2555
2026-06-06,claude-3-5-haiku,classify-bot,41622,44540083,58326300,3181435,12889455,95.04,2862
2026-06-07,claude-3-5-haiku,classify-bot,174219,179722292,235350621,12837307,52229536,384.36,11978
2026-06-08,claude-3-5-haiku,classify-bot,65622,68703537,89968917,4907395,22019711,155.15,4512
2026-06-09,claude-3-5-haiku,classify-bot,58519,64210258,84084862,4586447,19677565,141.39,4023
2026-06-10,claude-3-5-haiku,classify-bot,66217,71757445,93968083,5125532,20835633,153.39,4552
2026-06-11,claude-3-5-haiku,classify-bot,69987,74841631,98006899,5345831,21102540,157.47,4812
2026-06-12,claude-3-5-haiku,classify-bot,35801,40622235,53195784,2901588,12115905,88.12,2461
2026-06-13,claude-3-5-haiku,classify-bot,38070,43795660,57351460,3128261,11885562,90.30,2617
2026-06-14,claude-3-5-haiku,classify-bot,49435,52839405,69194459,3774243,15449998,113.38,3399
2026-06-15,claude-3-5-haiku,classify-bot,44749,47960324,62805185,3425737,14719716,105.70,3076
2026-05-17,claude-sonnet-4,knowledge-base,4261,9025350,11818912,644668,2437813,69.61,0
2026-05-18,claude-sonnet-4,knowledge-base,3953,8358533,10945698,597038,2257486,64.46,0
2026-05-19,claude-sonnet-4,knowledge-base,4156,9411849,12325040,672275,2625600,73.84,0
2026-05-20,claude-sonnet-4,knowledge-base,5099,10450867,13685659,746491,2999706,83.25,0
2026-05-21,claude-sonnet-4,knowledge-base,5001,11256368,14740481,804026,3185946,89.00,0
2026-05-22,claude-sonnet-4,knowledge-base,3248,6639225,8694222,474230,1913533,53.01,0
2026-05-23,claude-sonnet-4,knowledge-base,2848,5852369,7663816,418026,1680929,46.64,0
2026-05-24,claude-sonnet-4,knowledge-base,4799,10419965,13645193,744283,2824999,80.52,0
2026-05-25,claude-sonnet-4,knowledge-base,4479,10554526,13821403,753895,2654767,78.46,0
2026-05-26,claude-sonnet-4,knowledge-base,4068,8786402,11506003,627600,2288648,66.49,0
2026-05-27,claude-sonnet-4,knowledge-base,3820,8673471,11358117,619534,2143392,63.90,0
2026-05-28,claude-sonnet-4,knowledge-base,3561,7353875,9630074,525277,2250555,60.68,0
2026-05-29,claude-sonnet-4,knowledge-base,1870,4397091,5758095,314078,1051701,31.87,0
2026-05-30,claude-sonnet-4,knowledge-base,1651,3542498,4638987,253036,969626,27.51,0
2026-05-31,claude-sonnet-4,knowledge-base,3148,7027934,9203246,501995,1958060,55.10,0
2026-06-01,claude-sonnet-4,knowledge-base,3146,6950888,9102354,496492,1938647,54.52,0
2026-06-02,claude-sonnet-4,knowledge-base,2934,6678277,8745364,477020,1717326,50.21,0
2026-06-03,claude-sonnet-4,knowledge-base,2983,6590886,8630923,470778,1803997,51.19,0
2026-06-04,claude-sonnet-4,knowledge-base,3870,7998757,10474563,571340,2144241,61.44,0
2026-06-05,claude-sonnet-4,knowledge-base,2788,5983690,7835784,427406,1547827,45.12,0
2026-06-06,claude-sonnet-4,knowledge-base,3122,6662337,8724489,475881,1736011,50.43,0
2026-06-07,claude-sonnet-4,knowledge-base,13066,30339652,39730496,2167118,7967726,230.58,0
2026-06-08,claude-sonnet-4,knowledge-base,4922,9978079,13066532,712720,2961474,80.95,0
2026-06-09,claude-sonnet-4,knowledge-base,4389,9588974,12556990,684927,2472501,72.19,0
2026-06-10,claude-sonnet-4,knowledge-base,4966,10418948,13643862,744211,2983236,82.89,0
2026-06-11,claude-sonnet-4,knowledge-base,5249,10683432,13990208,763102,3321795,88.94,0
2026-06-12,claude-sonnet-4,knowledge-base,2685,6264288,8203234,447449,1511271,45.60,0
2026-06-13,claude-sonnet-4,knowledge-base,2855,6206406,8127436,443315,1629347,47.16,0
2026-06-14,claude-sonnet-4,knowledge-base,3708,8629844,11300985,616417,2227144,65.00,0
2026-06-15,claude-sonnet-4,knowledge-base,3356,7054816,9238450,503915,2022437,56.16,0
2026-05-17,claude-3-opus,assistant-api,426,892681,0,0,173271,26.39,0
2026-05-18,claude-3-opus,assistant-api,395,902080,0,0,154935,25.15,0
2026-05-19,claude-3-opus,assistant-api,416,879495,0,0,178926,26.61,0
2026-05-20,claude-3-opus,assistant-api,510,1195375,0,0,196212,32.65,0
2026-05-21,claude-3-opus,assistant-api,500,1073242,0,0,188358,30.23,0
2026-05-22,claude-3-opus,assistant-api,325,699288,0,0,136638,20.74,0
2026-05-23,claude-3-opus,assistant-api,285,635604,0,0,120703,18.59,0
2026-05-24,claude-3-opus,assistant-api,480,1012412,0,0,195184,29.82,0
2026-05-25,claude-3-opus,assistant-api,448,1005110,0,0,179188,28.52,0
2026-05-26,claude-3-opus,assistant-api,407,907459,0,0,165001,25.99,0
2026-05-27,claude-3-opus,assistant-api,382,887320,0,0,143319,24.06,0
2026-05-28,claude-3-opus,assistant-api,356,777119,0,0,131061,21.49,0
2026-05-29,claude-3-opus,assistant-api,187,426936,0,0,72952,11.88,0
2026-05-30,claude-3-opus,assistant-api,165,382192,0,0,68153,10.84,0
2026-05-31,claude-3-opus,assistant-api,315,738846,0,0,131485,20.94,0
2026-06-01,claude-3-opus,assistant-api,315,701505,0,0,116988,19.30,0
2026-06-02,claude-3-opus,assistant-api,293,650217,0,0,110856,18.07,0
2026-06-03,claude-3-opus,assistant-api,298,618695,0,0,123834,18.57,0
2026-06-04,claude-3-opus,assistant-api,387,884814,0,0,163750,25.55,0
2026-06-05,claude-3-opus,assistant-api,279,566161,0,0,115217,17.13,0
2026-06-06,claude-3-opus,assistant-api,312,679585,0,0,123898,19.49,0
2026-06-07,claude-3-opus,assistant-api,1307,2744587,0,0,538796,81.58,0
2026-06-08,claude-3-opus,assistant-api,492,1021004,0,0,181812,28.95,0
2026-06-09,claude-3-opus,assistant-api,439,979468,0,0,170383,27.47,0
2026-06-10,claude-3-opus,assistant-api,497,1142513,0,0,209183,32.83,0
2026-06-11,claude-3-opus,assistant-api,525,1205141,0,0,215041,34.21,0
2026-06-12,claude-3-opus,assistant-api,269,558080,0,0,110742,16.68,0
2026-06-13,claude-3-opus,assistant-api,286,585685,0,0,117444,17.59,0
2026-06-14,claude-3-opus,assistant-api,371,823201,0,0,141466,22.96,0
2026-06-15,claude-3-opus,assistant-api,336,729323,0,0,135332,21.09,0
2026-05-17,claude-3-5-haiku,agent-runner,81666,19908433,0,0,7059659,44.17,6391
2026-05-18,claude-3-5-haiku,agent-runner,75757,20003033,0,0,6777789,43.11,5929
2026-05-19,claude-3-5-haiku,agent-runner,79662,20988629,0,0,7620906,47.27,6234
2026-05-20,claude-3-5-haiku,agent-runner,97734,23959281,0,0,9040419,55.33,7649
2026-05-21,claude-3-5-haiku,agent-runner,95859,25448880,0,0,8644319,54.94,7502
2026-05-22,claude-3-5-haiku,agent-runner,62248,15253950,0,0,5198610,33.00,4872
2026-05-23,claude-3-5-haiku,agent-runner,54578,13234722,0,0,5160492,31.23,4271
2026-05-24,claude-3-5-haiku,agent-runner,91976,24339608,0,0,8335702,52.81,7198
2026-05-25,claude-3-5-haiku,agent-runner,85857,22548765,0,0,8224197,50.94,6719
2026-05-26,claude-3-5-haiku,agent-runner,77971,20419277,0,0,6584710,42.67,6102
2026-05-27,claude-3-5-haiku,agent-runner,73225,17932043,0,0,6234934,39.29,5731
2026-05-28,claude-3-5-haiku,agent-runner,68244,17056072,0,0,6509420,39.68,5341
2026-05-29,claude-3-5-haiku,agent-runner,35839,8922838,0,0,2991345,19.10,2805
2026-05-30,claude-3-5-haiku,agent-runner,31643,8361292,0,0,2652689,17.30,2476
2026-05-31,claude-3-5-haiku,agent-runner,60343,15713118,0,0,5424939,34.27,4722
2026-06-01,claude-3-5-haiku,agent-runner,60295,15214289,0,0,5842500,35.54,4719
2026-06-02,claude-3-5-haiku,agent-runner,56233,13844996,0,0,4993928,31.05,4401
2026-06-03,claude-3-5-haiku,agent-runner,57175,15923987,0,0,4886219,32.28,4475
2026-06-04,claude-3-5-haiku,agent-runner,74170,18808412,0,0,6501981,41.05,5805
2026-06-05,claude-3-5-haiku,agent-runner,53429,13716589,0,0,5175706,31.68,4181
2026-06-06,claude-3-5-haiku,agent-runner,59832,15162891,0,0,5453397,33.94,4682
2026-06-07,claude-3-5-haiku,agent-runner,250440,62952697,0,0,24019601,146.44,19600
2026-06-08,claude-3-5-haiku,agent-runner,94332,24512453,0,0,8455219,53.43,7383
2026-06-09,claude-3-5-haiku,agent-runner,84121,21759387,0,0,7471674,47.29,6583
2026-06-10,claude-3-5-haiku,agent-runner,95187,23678376,0,0,8514581,53.00,7449
2026-06-11,claude-3-5-haiku,agent-runner,100606,27059025,0,0,8747675,56.64,7874
2026-06-12,claude-3-5-haiku,agent-runner,51464,14002427,0,0,4630443,29.72,4028
2026-06-13,claude-3-5-haiku,agent-runner,54725,13457935,0,0,5002657,30.78,4283
2026-06-14,claude-3-5-haiku,agent-runner,71063,19242699,0,0,6167081,40.06,5561
2026-06-15,claude-3-5-haiku,agent-runner,64326,16413585,0,0,6066496,37.40,5034
